"","V1","V2","V3"
"1",0.958003497846589,0.350132262572118,-8406.9045919101
"2",0.958003497846589,0.350132262572118,-8406.9045919101
"3",0.789547927785486,0.42269837770363,-8405.46733307863
"4",0.65099732310443,0.538515783216112,-8407.49233692276
"5",0.596389039321458,0.589894005744106,-8406.39267677796
"6",0.596598095405676,0.594271867491967,-8405.52000957527
"7",0.483624126870023,0.816395973913083,-8407.1418798376
"8",0.564465473151901,0.670587620389346,-8406.14920893991
"9",0.708089663006493,0.497193385505346,-8406.86544641528
"10",0.947499531606572,0.335464043318706,-8407.85183662282
"11",0.75117712888395,0.465998153404229,-8404.94148477088
"12",0.613514451858668,0.59320164120944,-8406.0448737836
"13",0.689820517657918,0.507723704109327,-8405.89850904707
"14",0.604782088159217,0.59063074373411,-8405.74967615801
"15",0.537925102420015,0.686024783548842,-8408.00708663243
"","V1","V2","V3"
"1",0.652614295648939,0.530096774007188,-8406.15143880589
"2",0.760569738769835,0.445047532619016,-8406.23023406405
"3",0.614907319864945,0.560894703900201,-8406.47559446658
"4",0.529020865284711,0.687403943919234,-8406.11014369866
"5",0.552528200771137,0.709830482682329,-8405.18676587965
"6",0.75266988490729,0.485617156917672,-8405.08344287995
"7",0.466153813110439,0.881438780535995,-8408.23819844741
"8",0.613009306226232,0.573227534041941,-8406.8222138151
"9",0.521123188947478,0.756000094754037,-8405.15685258179
"10",0.599831694419822,0.638305676380717,-8405.40649300266
"11",0.625966618073628,0.586287902641713,-8405.33243889317
"12",0.54811916207746,0.64368176144035,-8406.64431193647
"13",0.516411741570034,0.806415180024847,-8406.83919863123
"14",0.544636426117419,0.687133890048925,-8405.66450798015
"15",0.544282165543478,0.696962489971386,-8405.34346079827
"","V1","V2","V3"
"1",0.659526297734924,0.524548934200951,-8405.32166499388
"2",0.623339820773045,0.582067085255545,-8405.66997313339
"3",0.537323685492118,0.696969812134475,-8405.1176606565
"4",0.392294826770291,1.08562048460325,-8405.93957349484
"5",0.520337604717545,0.701651718249174,-8407.25162820093
"6",0.547218790114585,0.68917722648505,-8406.26427785619
