"","V1","V2","V3","V4"
"11",0.905717289075255,0.140709787597309,0.147508279420435,-5.16728910414163
"12",0.88670004485175,0.187311601616513,0.0766349108889699,-5.02068562994976
"13",0.506110777845606,0.0215919962783701,0.47448708023876,-4.49184150068109
"14",0.232162572909147,0.00864039707840402,0.960196203319356,-6.72543372218818
"15",0.733869750285521,0.121644466125461,0.184151662280783,-5.80914299031403
"","V1","V2","V3","V4"
"1",0.386338279116899,0.149444204958992,0.475755565101281,-5.80914299031403
"2",0.298040149267763,0.0422971685902243,0.758914940059185,-5.40367788220586
"3",0.771743821678683,0.139891977724202,0.153747579082847,-4.71053070164592
"4",0.524303155019879,0.0577666090789869,0.442323519615456,-4.44816643717843
"5",0.512338816188276,0.100166963048422,0.346175882266834,-4.64599218050835
"6",0.287944904062897,0.183561174580719,0.668105038814247,-6.4377516497364
"7",0.657648925436661,0.140711611945479,0.27167991688475,-5.80914299031403
"8",0.58200636296533,0.0207614004438852,0.391290315194055,-5.18498868124103
"9",0.242944614496082,0.235417157905897,0.125662948237732,-7.01311579463996
"10",0.278859900776297,0.0176625647686998,0.887996170204133,-5.5727542122498
"11",0.501407521544024,0.0923190787886158,0.388379333075136,-5.05145728861651
"12",0.612340102670714,0.112156982387843,0.264947558287531,-4.3740584650247
"13",0.250412860652432,0.11421304146967,0.744468219345436,-8.51719319141624
"14",0.292096560122445,0.0369605502596115,0.792675160802901,-7.26443022292087
"15",0.654222992714494,0.166938536052375,0.219702465226874,-5.87813586180098
"","V1","V2","V3","V4"
"1",0.535966650815681,0.109041655094315,0.316014573443681,-3.9792317551216
"2",0.593354142969474,0.052850639405237,0.432350147282705,-6.4377516497364
"3",0.482247423380613,0.193997690567669,0.265386401442811,-7.26443022292087
"4",0.961347720818594,0.189192433531789,0.0456819816026837,-6.03228654162824
"5",0.276889442233369,0.22019642969083,0.144137582276016,-6.57128304236092
"6",0.650862135924399,0.101867988989153,0.321580019546673,-5.87813586180098
"7",0.550970146199688,0.101078028141377,0.299417880829424,-4.61522052184159
"8",0.31369895930402,0.202444877407702,0.219989706063643,-7.13089883029635
"9",0.482751436997205,0.131865862135359,0.338118665153161,-6.11929791861787
"10",0.669669716618955,0.147667526674867,0.179644748568535,-5.33913936106829
"11",0.275319173932076,0.22177106608531,0.419398958561942,-6.26590139280974
"12",0.403188873548061,0.0609072449884194,0.514814953319728,-4.73300355749798
"13",0.477017694618553,0.0424260911119465,0.466868569375947,-4.52820914485196
"14",0.239587779389694,0.151822735215403,0.87735528871417,-6.4377516497364
"15",0.813524843892083,0.161964782402578,0.154793987283483,-4.76768911548587
"","V1","V2","V3","V4"
"1",0.432732050074264,0.00413031952728238,0.491007402772084,-6.21460809842219
"2",0.58620300819166,0.0817371181884917,0.380793995689601,-5.18498868124103
"3",0.362295281607658,0.226544192429841,0.0533419200219214,-6.03228654162824
"4",0.658942592330277,0.139927513290358,0.210160380229354,-4.3740584650247
"5",0.454964846372604,0.233689371107676,0.129400721751153,-6.72543372218818
"6",0.357878803042695,0.00794302269852944,0.618475252762437,-6.72543372218818
"7",0.250869849929586,0.124953967878269,0.876423956127837,-6.03228654162824
