Time	ID	Naive exposed	Naive infected	Focal exposed	Focal infected
19.0134	6304	3	0	0	0
19.0618	8278	10	1	0	0
19.0714	6468	4	0	0	0
19.0807	603	7	1	1	0
19.1157	9118	6	1	1	0
19.1205	931	4	2	0	0
19.1257	447	9	3	2	0
19.1419	8872	2	0	0	0
19.1465	2102	6	2	2	0
19.1559	9822	1	0	0	0
19.1643	117	2	1	0	0
19.1753	2147	2	0	0	0
19.2059	5452	10	3	0	0
19.2069	3881	6	1	2	0
19.2469	5875	3	0	0	0
19.2918	958	0	0	0	0
19.3063	5938	2	1	0	0
19.3264	184	2	1	1	1
19.381	1670	2	0	0	0
19.3876	5999	7	2	1	0
19.4191	1985	3	0	0	0
19.4282	6852	2	1	0	0
19.4777	905	12	2	3	0
19.4829	4061	0	0	0	0
19.4938	5	2	1	0	0
19.5014	2713	0	0	0	0
19.5098	258	1	1	0	0
19.5422	1447	1	1	0	0
19.5425	2333	1	1	0	0
19.5649	7537	3	1	0	0
19.5885	1994	10	4	0	0
19.6285	6338	6	2	2	1
19.6725	7391	0	0	2	1
19.6885	2931	1	0	0	0
19.7115	700	0	0	0	0
19.7157	1689	2	0	0	0
19.7337	487	1	0	0	0
19.7826	6847	4	1	1	1
19.799	1097	0	0	0	0
19.8134	5943	0	0	0	0
19.8223	396	0	0	0	0
19.8327	510	0	0	0	0
19.8481	2184	1	0	0	0
19.9021	553	12	1	1	0
19.9604	4495	3	0	1	0
19.966	70	3	1	0	0
19.9903	9296	2	1	0	0
19.9954	93	2	1	0	0
19.9972	7612	10	2	0	0
20.0188	9097	1	0	0	0
20.0369	8664	2	1	0	0
20.0389	1704	3	1	3	0
20.0485	8471	2	2	1	1
20.0729	3607	1	1	1	0
20.0937	3878	5	3	1	0
20.1223	6915	0	0	0	0
20.1268	734	2	0	1	1
20.1402	5113	6	2	1	0
20.1632	9883	7	0	0	0
20.1638	2688	0	0	1	0
20.164	3609	0	0	0	0
20.1745	3342	12	2	1	0
20.1987	163	1	1	0	0
20.2173	8166	6	2	0	0
20.2241	975	0	0	0	0
20.2594	7811	0	0	0	0
20.2763	9447	2	0	1	1
20.2912	2210	12	0	3	0
20.3196	2808	0	0	3	1
20.3291	3146	10	3	3	0
20.3696	9211	3	0	0	0
20.3954	8612	0	0	0	0
20.42	6364	4	0	0	0
20.437	8416	3	2	0	0
20.44	1912	4	0	0	0
20.466	7292	5	0	2	0
20.4777	5682	2	2	0	0
20.5048	5845	0	0	0	0
20.5053	4449	17	5	1	0
20.5615	554	3	0	0	0
20.5629	7191	1	1	0	0
20.5817	7185	2	0	0	0
20.5967	3836	1	0	1	0
20.6154	1993	3	1	1	0
20.6291	3001	8	1	1	0
20.6622	9608	3	0	0	0
20.6629	6207	1	0	0	0
20.6809	8562	3	1	0	0
20.6827	5685	6	1	1	0
20.6886	1862	0	0	0	0
20.7919	1399	2	0	0	0
20.7938	6618	0	0	2	0
20.9079	9230	0	0	0	0
20.9115	4676	1	1	1	1
20.9198	8469	5	1	0	0
20.9576	9989	0	0	0	0
20.9897	128	7	4	1	0
20.9898	2146	4	0	0	0
21.0339	1513	3	0	0	0
21.0555	8559	5	1	2	0
21.1457	1276	2	0	0	0
21.1544	9868	0	0	1	1
21.1554	6548	21	9	1	1
21.1559	993	5	1	0	0
21.1583	8465	6	0	1	0
21.1638	1061	1	0	0	0
21.1867	672	3	1	0	0
21.2072	6717	1	0	2	0
21.208	1838	4	1	0	0
21.2139	4503	2	2	2	0
21.2182	8838	2	1	1	0
21.2359	3448	2	0	1	1
21.2363	6309	0	0	0	0
21.237	2787	1	1	0	0
21.2371	343	4	1	0	0
21.2733	3400	3	1	2	0
21.2972	4854	3	2	0	0
21.2998	5641	0	0	0	0
21.3019	5385	0	0	0	0
21.327	7030	4	0	2	0
21.3272	6497	0	0	0	0
21.3353	1483	2	0	2	0
21.3517	3605	3	2	0	0
21.3728	7848	8	3	4	0
21.4051	4700	3	0	0	0
21.4311	4063	0	0	1	0
21.4334	4582	4	0	0	0
21.4395	2924	8	3	1	0
21.4449	355	1	0	1	0
21.4742	8219	10	3	2	0
21.4784	3737	6	2	0	0
21.4807	2492	2	0	1	0
21.4833	2182	2	0	0	0
21.4866	4735	0	0	0	0
21.5038	5406	2	0	0	0
21.5739	9478	0	0	1	0
21.5806	4428	1	0	0	0
21.605	9013	1	0	0	0
21.6384	6446	3	0	0	0
21.6384	9218	2	1	0	0
21.6393	3267	4	1	1	0
21.6701	208	0	0	0	0
21.6756	674	5	1	1	0
21.6767	2655	1	1	1	0
21.6825	1857	10	2	2	0
21.6872	4768	1	0	0	0
21.7179	3520	3	0	1	0
21.7526	6505	3	1	0	0
21.7556	7816	4	2	0	0
21.7674	4402	0	0	1	0
21.8053	3127	6	1	0	0
21.8457	1375	10	3	1	1
21.8939	5604	6	3	2	0
21.8953	903	2	1	0	0
21.9071	402	1	0	0	0
21.9305	3386	0	0	0	0
21.9368	9495	5	2	1	0
21.9472	6155	5	1	1	0
21.9504	2748	3	0	0	0
21.9511	3572	2	1	0	0
21.9554	7912	1	1	0	0
21.9975	3738	1	0	0	0
22.0055	698	17	6	2	1
22.0158	9128	3	0	1	0
22.0189	6848	0	0	0	0
22.0362	1214	4	1	1	0
22.0687	8798	0	0	1	1
22.1429	1970	2	1	0	0
22.1762	7193	2	1	0	0
22.1838	9257	0	0	1	0
22.1917	9846	2	0	0	0
22.2237	9580	3	2	0	0
22.2241	6249	14	3	1	0
22.2306	4730	1	0	2	0
22.264	3401	4	0	0	0
22.2655	4702	1	1	0	0
22.2825	1943	3	1	0	0
22.292	3152	4	2	0	0
22.2935	4367	1	1	1	1
22.2952	2151	0	0	0	0
22.3044	8520	11	3	0	0
22.3132	80	17	3	3	1
22.3275	7266	12	4	3	1
22.3374	2087	3	1	1	0
22.361	3248	4	2	0	0
22.3917	4489	0	0	0	0
22.432	9150	1	0	0	0
22.4407	3517	0	0	0	0
22.449	8803	4	0	1	0
22.4564	8800	12	2	1	0
22.461	9258	2	0	0	0
22.4972	8811	7	0	0	0
22.5011	1248	3	1	0	0
22.5016	2845	6	2	2	1
22.5071	3847	2	0	0	0
22.5273	3	6	5	3	0
22.5382	89	1	0	0	0
22.5621	7809	8	1	1	0
22.5734	4046	2	0	0	0
22.5751	1620	1	0	1	0
22.6114	8547	6	0	0	0
22.6251	5325	2	0	0	0
22.6489	1125	0	0	0	0
22.6563	8849	2	1	1	0
22.6792	2944	6	4	4	1
22.6798	2954	0	0	0	0
22.7398	1754	0	0	2	0
22.7474	5500	21	4	0	0
22.8221	2653	1	0	0	0
22.8288	8789	2	0	1	0
22.8591	7494	3	1	0	0
22.9166	299	7	5	0	0
22.9233	9027	7	1	0	0
22.9258	5737	7	1	0	0
22.9282	6186	4	0	0	0
22.9385	8993	6	1	1	0
22.9433	4411	2	0	3	0
22.9683	4100	0	0	0	0
23.0134	276	11	2	2	0
23.0152	8120	6	1	1	0
23.0176	3443	3	0	2	2
23.0456	7678	1	0	2	0
23.0553	1869	0	0	0	0
23.0627	3227	1	0	2	1
23.0705	5860	4	2	2	0
23.0771	2157	0	0	0	0
23.081	8199	3	1	0	0
23.0887	6326	1	0	1	1
23.0893	1299	8	3	2	1
23.0977	571	0	0	0	0
23.1544	3431	3	1	1	0
23.1565	2164	0	0	1	0
23.1572	8464	2	0	0	0
23.1763	8161	1	0	0	0
23.1851	8807	3	1	0	0
23.1887	9289	2	0	2	0
23.1941	2386	0	0	0	0
23.1945	6121	0	0	0	0
23.2027	6292	11	4	4	1
23.2146	9209	4	1	3	1
23.2268	9716	4	0	0	0
23.2277	8545	0	0	0	0
23.239	6924	21	6	2	1
23.256	8822	8	1	0	0
23.287	493	3	1	3	0
23.3093	4674	1	0	0	0
23.3242	3228	2	1	0	0
23.3303	834	5	1	0	0
23.3499	9890	0	0	0	0
23.356	6157	3	1	0	0
23.3828	1613	4	0	4	2
23.4221	2419	1	0	0	0
23.4245	9293	19	4	0	0
23.4307	1957	7	4	3	0
23.4309	2929	1	0	0	0
23.487	5608	1	0	0	0
23.5021	8014	0	0	0	0
23.5043	7491	3	2	0	0
23.5124	547	14	1	3	1
23.5201	2982	0	0	0	0
23.5784	9117	3	0	1	0
23.6394	1560	5	1	1	0
23.664	2118	1	0	1	1
23.675	5666	0	0	0	0
23.6904	514	3	0	0	0
23.7027	2506	5	1	0	0
23.7198	4964	3	1	4	0
23.7337	9539	0	0	0	0
23.762	7934	1	0	1	0
23.775	4192	6	2	2	0
23.7805	7113	2	2	1	1
23.7885	3170	2	1	2	1
23.7908	4884	1	0	0	0
23.7923	1512	5	1	1	0
23.8155	669	0	0	1	0
23.8184	2854	0	0	0	0
23.8215	860	11	3	1	0
23.8269	6515	3	1	1	0
23.8325	7628	1	0	0	0
23.881	7481	9	3	3	1
23.8923	6331	0	0	1	0
23.92	3515	2	0	0	0
23.9408	2030	2	0	2	0
23.9427	443	2	0	0	0
23.9635	6434	0	0	1	0
23.971	5997	5	2	0	0
23.973	7327	4	1	0	0
23.9897	6475	2	0	1	0
23.9984	1543	0	0	0	0
24.0046	8535	5	1	2	1
24.0102	2604	1	0	0	0
24.054	16	17	4	2	0
24.0627	5924	0	0	0	0
24.0677	4255	3	0	1	0
24.0953	696	0	0	1	0
24.0975	5071	1	1	0	0
24.099	4478	2	0	1	1
24.0996	8767	3	0	1	0
24.1076	3081	5	2	4	2
24.108	8200	10	2	0	0
24.1309	255	0	0	0	0
24.1345	7097	3	2	0	0
24.139	2658	1	0	0	0
24.1766	8693	11	1	3	0
24.184	8445	0	0	0	0
24.1983	3286	2	2	0	0
24.2025	2219	4	1	1	0
24.2079	5453	0	0	1	0
24.219	6421	24	5	2	0
24.2238	3283	4	1	0	0
24.2329	3647	0	0	0	0
24.2344	8448	0	0	0	0
24.2577	9743	1	0	0	0
24.3261	9765	4	2	1	0
24.3571	8432	1	1	0	0
24.3687	3053	0	0	0	0
24.3706	6750	4	3	0	0
24.3788	8214	2	0	0	0
24.383	142	1	0	0	0
24.395	4671	1	0	0	0
24.4449	2805	0	0	2	0
24.4505	7328	2	1	4	1
24.462	237	1	0	3	0
24.4625	4706	1	0	0	0
24.4718	9521	3	1	4	2
24.4878	1179	1	0	1	0
24.4948	6663	1	0	3	2
24.4965	6545	11	5	6	1
24.5017	1264	0	0	0	0
24.5087	6547	6	1	3	0
24.5219	5286	1	0	1	0
24.5272	2377	0	0	0	0
24.5291	6819	3	0	1	0
24.5535	8895	5	1	3	0
24.5569	8911	1	0	0	0
24.5827	7235	2	1	2	2
24.615	5644	9	3	2	0
24.6265	5249	6	1	2	1
24.6653	15	2	0	0	0
24.6671	9400	1	0	1	0
24.695	7569	0	0	0	0
24.712	2291	1	0	1	0
24.7336	9911	6	3	2	0
24.735	1116	3	2	5	1
24.736	5843	0	0	0	0
24.74	1809	2	1	1	0
24.7434	6127	6	3	4	0
24.7655	372	5	0	0	0
24.7812	5905	0	0	2	0
24.7884	4704	3	0	1	0
24.8091	1024	6	1	0	0
24.8245	6227	1	1	0	0
