Time	ID	Naive exposed	Naive infected	Focal exposed	Focal infected
21.5809	6175	1	1	0	0
21.5843	3947	1	1	0	0
21.6087	7310	12	2	0	0
21.6171	7467	1	1	0	0
21.6176	166	6	2	0	0
21.623	2430	0	0	0	0
21.6591	9032	10	3	0	0
21.6798	3238	1	0	0	0
21.7618	7801	12	0	0	0
21.7675	1581	1	1	0	0
21.7682	8964	3	1	1	0
21.772	2762	2	0	1	0
21.8166	4793	8	1	0	0
21.8347	9903	9	6	0	0
21.8569	1500	14	6	1	0
21.8787	8565	0	0	0	0
21.8816	923	5	0	1	0
21.8862	6109	0	0	0	0
21.92	1267	1	1	0	0
21.9205	1212	4	2	2	0
22.0218	6258	1	0	0	0
22.0456	2387	7	1	1	0
22.0537	8500	5	1	3	0
22.0539	7566	7	3	0	0
22.0917	8754	1	0	1	1
22.1168	4690	8	1	2	0
22.1185	7503	0	0	0	0
22.182	9119	0	0	0	0
22.2166	7741	2	0	1	0
22.239	7961	1	0	0	0
22.2768	1209	1	0	0	0
22.3284	5435	6	4	0	0
22.3552	4642	6	3	0	0
22.3646	1162	3	1	0	0
22.4402	8694	1	0	0	0
22.4673	8690	0	0	0	0
22.5574	439	1	0	0	0
22.6092	4415	1	1	0	0
22.6184	2889	1	1	0	0
22.6386	1198	11	5	0	0
22.6682	2210	0	0	0	0
22.7134	3758	0	0	0	0
22.7165	4578	8	1	1	0
22.7263	5978	0	0	0	0
22.7319	7309	1	0	0	0
22.7446	279	0	0	0	0
22.7545	1434	6	3	0	0
22.7602	428	1	0	0	0
22.8083	9262	0	0	0	0
22.8302	9649	3	3	0	0
22.8511	4643	9	3	0	0
22.9261	861	8	2	0	0
22.9369	8300	1	0	0	0
22.941	8331	3	1	0	0
22.9588	4134	0	0	0	0
22.9933	6833	2	1	1	0
22.9961	8324	0	0	0	0
23.0273	8734	1	0	1	1
23.0462	803	20	3	1	0
23.0475	1549	4	1	2	0
23.0555	258	4	1	0	0
23.0997	3082	8	1	3	0
23.1209	537	9	3	1	1
23.1548	9130	0	0	0	0
23.1989	145	1	0	0	0
23.2987	327	0	0	0	0
23.3011	4438	1	0	0	0
23.3058	6095	0	0	0	0
23.3076	7089	15	4	1	0
23.3599	8347	0	0	0	0
23.3745	3571	0	0	0	0
23.3998	3272	6	1	0	0
23.4025	4565	7	4	0	0
23.4362	4666	6	2	1	0
23.4459	5202	2	1	0	0
23.4677	4669	11	1	3	1
23.536	6287	0	0	0	0
23.5607	2723	16	5	1	0
23.577	6200	0	0	0	0
