"","V1","V2","V3","V4"
"1",0.277728333603591,0.0612656643187283,0.757631271146238,-5.22135632541191
"2",0.32980959652923,0.0064256569615062,0.715158255770802,-4.55638002181866
"3",0.242037263931707,0.151415973842343,0.734696293249726,-5.47267075369281
"4",0.217777033336461,0.20781434758329,0.822974218288437,-5.65499231048677
"5",0.635854052146897,0.212380855509501,0.0131270058918744,-5.80914299031403
"6",0.461001266492531,0.110593935030846,0.390409515239298,-5.06720564558465
"7",0.332860982976854,0.0408415456627528,0.606443395838141,-5.02068562994976
"8",0.383492321707308,0.169056307895661,0.242418530164286,-4.64599218050835
"9",0.216610397677869,0.0735689923055712,0.835230868542567,-7.01311579463996
"10",0.317398273386061,0.0375946838590871,0.617403589887545,-6.31996861408002
"11",0.367100261850283,0.103018469600214,0.543818484526128,-5.25909665339475
"12",0.828902112087235,0.194641861906991,0.0226313809398562,-5.91450350597185
"13",0.253785574808717,0.204227232742265,0.878659738227725,-6.72543372218818
"14",0.259732425678521,0.131844819149868,0.709529910702258,-5.80914299031403
"15",0.468768986174837,0.115349485910889,0.312006908934563,-4.3428059215206
"","V1","V2","V3","V4"
"1",0.252015092177317,0.114745604525695,0.888919403310865,-5.54677872584654
"2",0.271129366243258,0.155921059489248,0.689882589504123,-5.62682143352007
"3",0.272453167010099,0.125386635175,0.582180082099512,-5.62682143352007
"4",0.286052629118785,0.115367598053468,0.712116631213576,-5.62682143352007
"5",0.564297275617719,0.200990641922344,0.0902607040479779,-4.61522052184159
"6",0.262485472718254,0.131669256804467,0.712666973471642,-6.21460809842219
"7",0.571481906110421,0.164813720863907,0.172871520509943,-5.22135632541191
"8",0.593352942727506,0.109997162417936,0.262128248345107,-4.50986000618377
"9",0.424581403844059,0.201630659992837,0.198458043159917,-5.80914299031403
"10",0.291001910809427,0.00788697813156041,0.762049277545884,-5.06720564558465
"11",0.246467338176444,0.0685012269436099,0.907091181259602,-5.20300718674371
"12",0.37522973655723,0.165042646764114,0.314259539358318,-4.49184150068109
"13",0.236625294666737,0.083346549485902,0.867664721328765,-4.93367425296013
"14",0.528962783282623,0.152913891514697,0.260118920821697,-5.18498868124103
"15",0.350065507926047,0.170045420640154,0.357836060924456,-5.29831736654804
"","V1","V2","V3","V4"
"1",0.711266302503645,0.154907859774802,0.13325667171739,-5.33913936106829
"2",0.453428029548377,0.137256503931905,0.325415565632284,-5.47267075369281
"3",0.452139602974057,0.150793812534548,0.294499672949314,-5.06720564558465
"4",0.282654547831044,0.157118732250633,0.635654815938324,-6.4377516497364
"5",0.240556417265907,0.0928296847245991,0.880746378097683,-5.29831736654804
"6",0.261381575139239,0.205645296656332,0.53127618948929,-7.60090245954208
"7",0.506877700099722,0.120548411821468,0.364662302890792,-7.01311579463996
"8",0.396959436126053,0.0725304334372073,0.416831407230347,-5.62682143352007
"9",0.239106185268611,0.0741758201625339,0.888572973199189,-5.80914299031403
"10",0.391786778578535,0.19492017211837,0.198664020746946,-5.91450350597185
"11",0.472807831130922,0.102762360048403,0.350502090994269,-5.52146091786225
"12",0.28168219816871,0.217728992072838,0.221856645541266,-6.11929791861787
"13",0.246385971549898,0.199938393447429,0.65640416694805,-6.81244509917781
"14",0.223422200651839,0.187808992292083,0.987189311999828,-5.74460446917646
"15",0.422349389642477,0.0207211468953501,0.516693757846951,-5.52146091786225
"","V1","V2","V3","V4"
"1",0.355040616588667,0.108033201239897,0.499520531855524,-4.76768911548587
"2",0.593582469038665,0.129360526778963,0.204569036606699,-5.52146091786225
"3",0.326235430780798,0.0945971302868153,0.575440262211487,-6.4377516497364
"4",0.484356863191351,0.00787467463752894,0.471402588067576,-4.42284862919414
"5",0.275784529047087,0.130803167555442,0.824806289048865,-6.57128304236092
"6",0.221724214265123,0.203564143357244,0.336305992910638,-5.02068562994976
"7",0.221934926928952,0.216582867177836,0.54153959825635,-5.52146091786225
"8",0.435200520791113,0.171172945129962,0.14016757812351,-5.80914299031403
"9",0.30069493339397,0.138219372018817,0.480795835610479,-5.22135632541191
"10",0.217234594281763,0.197654803772566,0.485933790914714,-6.57128304236092
"11",0.371910922694951,0.110371585557255,0.488194851204753,-4.60517018598809
"12",0.207684353925288,0.2001137477196,0.716648624511436,-6.90775527898214
"13",0.254544758237898,0.239970266344343,0.225829508388415,-6.31996861408002
"14",0.458307311404496,0.0756491036348388,0.466066419379786,-5.06720564558465
"15",0.586634874576703,0.0977922070236693,0.260662330547348,-5.62682143352007
"","V1","V2","V3","V4"
"1",0.764650980243459,0.215165906761026,0.0172676821239293,-5.52146091786225
"2",0.540895367972553,0.0807385445443722,0.35117211099714,-4.8283137373023
"3",0.311421220190823,0.106347171582356,0.604776547988877,-5.18498868124103
"4",0.457791023887694,0.188468347414337,0.215853250585496,-6.72543372218818
"5",0.251731034601107,0.206757894990459,0.811426925472915,-7.13089883029635
"6",0.541660599177703,0.117175339349759,0.326858922373503,-6.03228654162824
"7",0.246526139089838,0.233840095170803,0.250448502833024,-5.05145728861651
"8",0.309941107872874,0.0288066038596381,0.747002141084522,-5.29831736654804
"9",0.367083392105997,0.0612215138223106,0.472923857392743,-5.52146091786225
"10",0.284863664768636,0.0211022355940973,0.773974165786058,-4.77952357313287
"11",0.460869853151962,0.0188119965100875,0.475294914096594,-6.90775527898214
"12",0.347821086412296,0.00288609566299757,0.694175533717498,-4.8665349501225
"13",0.384357444709167,0.0839333421170912,0.428199768997729,-5.65499231048677
"14",0.507691891398281,0.0767840254730494,0.397258737357333,-4.71053070164592
"15",0.554277514806017,0.173259566601704,0.108828498516232,-4.73300355749798
"","V1","V2","V3","V4"
"1",0.340019040275365,0.0713470667118788,0.60760460072197,-5.33913936106829
"2",0.283736745361239,0.0554723254438938,0.632681360002607,-6.11929791861787
"3",0.348004501545802,0.050858461285425,0.511272112838924,-6.72543372218818
"4",0.226625038776547,0.200507721452846,0.154224012047052,-6.72543372218818
"5",0.357729815645143,0.0161036793393654,0.62881299899891,-4.24749574171627
"6",0.418911752989516,0.131226507414091,0.42391439108178,-6.4377516497364
"7",0.248953423462808,0.204453285254267,0.56418730947189,-5.05145728861651
"8",0.719261412275955,0.165133917140392,0.124552862951532,-4.3428059215206
"9",0.26659920392558,0.137303725125184,0.622233290458098,-6.90775527898214
"10",0.582601931877434,0.113093145584806,0.225074096815661,-5.40367788220586
"11",0.427762137260288,0.159462977635654,0.290813825558871,-4.61522052184159
"12",0.404080485226586,0.112909802841678,0.431325253797695,-5.31852007386556
"13",0.895077638328075,0.174897825700177,0.0918239948805422,-4.32753844938981
"14",0.507743916008621,0.0821665467115917,0.387243900215253,-4.93367425296013
"15",0.289383836789057,0.215078746092141,0.136354001471773,-5.25909665339475
"","V1","V2","V3","V4"
"1",0.438057912280783,0.00189341525177577,0.563015153398737,-4.73300355749798
"2",0.39101058524102,0.178507041416409,0.130303700920194,-6.57128304236092
"3",0.260105448309332,0.132711480218151,0.637933576246724,-6.21460809842219
"4",0.251697807339951,0.175850173137553,0.595091325230896,-6.03228654162824
"5",0.532032929593697,0.190804563252383,0.0743090522009879,-5.52146091786225
"6",0.692855479661375,0.175563579484112,0.0676573750097305,-5.52146091786225
"7",0.700080663431436,0.170283998858036,0.145243514562026,-4.71053070164592
"8",0.298055581282824,0.0124507610951989,0.749764257343486,-4.96184512992682
"9",0.278637988725677,0.0678888693550478,0.820131041109562,-5.62682143352007
"10",0.604492902988568,0.132803148825109,0.227421682327986,-4.73300355749798
"11",0.241757726529613,0.17081116117426,0.758924847934395,-5.11599580975408
"12",0.304435042664409,0.086264727795252,0.746654496295378,-7.41858090274813
"13",0.196567280916497,0.187859419306567,0.193817342398688,-7.26443022292087
"14",0.5964930949267,0.167161952242307,0.131641662446782,-4.71053070164592
"15",0.655666947364807,0.11998853916021,0.168047229992226,-7.41858090274813
"","V1","V2","V3","V4"
"1",0.248406508471817,0.210705406558876,0.105366719420999,-6.03228654162824
"2",0.418317986885086,0.137472853595999,0.292259469162673,-5.80914299031403
"3",0.622061527566984,0.127703575242967,0.17271573538892,-6.03228654162824
"4",0.338218659628183,0.00931438097854236,0.667160829296336,-3.87280229227486
"5",0.218673962866887,0.179841064378634,0.929289408959448,-5.87813586180098
"6",0.449993191752583,0.0570119087432467,0.500824650283903,-5.87813586180098
"7",0.310569940367714,0.0418324337515633,0.770981654757634,-5.40367788220586
"8",0.23128630197607,0.0804086253541378,0.932507030200213,-6.21460809842219
"9",0.332859187154099,0.0849273697267148,0.582983879838139,-5.33913936106829
"10",0.384155496489257,0.187870191013347,0.217976602492854,-5.02068562994976
"11",0.323146329261363,0.0246276429757616,0.737839951645583,-6.4377516497364
"12",0.3143390994519,0.0933176322456308,0.567199508426711,-5.06720564558465
