"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",0.02,0,2.7,1.01680058916901,0.019852,0.00869239056034953,0.01988,0.00944323963345074,0.01974,0.0203751698777592
"2",0.04,0,6.5,1.35021026072599,0.04046,0.0126755303269358,0.040235,0.0139737267770642,0.04136,0.0280524034146334
"3",0.06,0,7.1,1.41254428120492,0.059716,0.0145795715954862,0.060055,0.0161177466401714,0.05836,0.0328144356524257
"4",0.08,0,4.9,1.37203558128055,0.080604,0.0170544433517497,0.080285,0.0190119759685896,0.08188,0.0380882700620062
"5",0.1,0,5.7,1.41027626455879,0.099332,0.0187535989472281,0.099435,0.0207517809214393,0.09892,0.0422257814210302
"6",0.12,0,5.5,1.41253718580065,0.120248,0.0199716138897527,0.11994,0.0221084867230931,0.12148,0.0461122102694713
"7",0.14,0,4.8,1.36720877814846,0.141144,0.0222196529445664,0.141545,0.0245579124940632,0.13954,0.0502903322470385
"8",0.16,0,5,1.43592582729499,0.160028,0.023639925170399,0.161125,0.0262773643060881,0.15564,0.0514707649024147
"9",0.18,0,6.1,1.40177533917481,0.180632,0.0236866551803676,0.18025,0.0270419815984104,0.18216,0.0551432242000336
"10",0.2,0,4.6,1.33390444959392,0.199896,0.0252701358081781,0.200445,0.0287855099065586,0.1977,0.0550685258795125
"11",0.22,0,5.1,1.37900805657724,0.22076,0.0265703666588247,0.22103,0.0301869234992629,0.21968,0.0579176316163917
"12",0.24,0,4.8,1.36684067320834,0.239632,0.0277940476556597,0.239595,0.0306904362607943,0.23978,0.0619305012654265
"13",0.26,0,5.4,1.4313978449942,0.260324,0.0270774484066023,0.260345,0.0307058434800906,0.26024,0.0640003002995958
"14",0.28,0,4.4,1.38365414227478,0.2797,0.0282654016941726,0.28063,0.0313094775329034,0.27598,0.0625215846612076
"15",0.3,0,5.6,1.38254156724947,0.3019,0.0287324129086221,0.3017,0.0323737248097598,0.3027,0.0651502460053264
"16",0.32,0,4.3,1.29560637133922,0.320236,0.0282433353198589,0.31989,0.0321515415123695,0.32162,0.0630884756176257
"17",0.34,0,6,1.39645444978042,0.339936,0.0308397632123691,0.33988,0.0344691706271521,0.34016,0.0687189689728877
"18",0.36,0,5.8,1.39005583772476,0.359856,0.0306785990625459,0.35928,0.035616711669526,0.36216,0.0677578447526596
"19",0.38,0,4.7,1.35989745268083,0.37884,0.0301735785886402,0.37915,0.0337582155499534,0.3776,0.0678914519600903
"20",0.4,0,5.3,1.47718304837835,0.40072,0.0307841072838122,0.401145,0.0343189709456267,0.39902,0.0718094436421575
"21",0.42,0,4.3,1.4328259645035,0.419492,0.0310434797281753,0.42017,0.0348437251909893,0.41678,0.0677541306653862
"22",0.44,0,5.3,1.4214137250062,0.440688,0.0321718150200091,0.44003,0.0352312409707683,0.44332,0.0707586346984196
"23",0.46,0,5.9,1.42630946335587,0.459648,0.0297917378419528,0.459555,0.0335134320105406,0.46002,0.0719887628868699
"24",0.48,0,4.8,1.39664736216581,0.47944,0.0316751276826742,0.4787,0.0352860468897425,0.4824,0.0702337011182863
"25",0.5,0,4.6,1.3403002341277,0.499468,0.0309505882805952,0.49924,0.0353938571665356,0.50038,0.0681182478906768
"26",0.52,0,5.8,1.4762666194415,0.521088,0.0309254043892176,0.52112,0.0352532039450089,0.52096,0.0705411543317407
"27",0.54,0,5.1,1.35153347561322,0.53944,0.0307562082244275,0.538945,0.0348234784254768,0.54142,0.0694435454596466
"28",0.56,0,5.3,1.42569048058262,0.56114,0.0316936726948596,0.56108,0.0340557395073634,0.56138,0.0718808908018151
"29",0.58,0,4.8,1.29445676994985,0.580376,0.0315897536637521,0.58095,0.0347657324984841,0.57808,0.0709235062848964
"30",0.6,0,5.4,1.36517810468786,0.601016,0.0315152177995481,0.60056,0.0348259852588444,0.60284,0.0705869457967755
"31",0.62,0,5.1,1.40738514322948,0.619248,0.0297084009176712,0.61931,0.0329561831832816,0.619,0.0684666903514964
"32",0.64,0,4.2,1.37707695467994,0.640448,0.0302513874465692,0.64038,0.0336636129795784,0.64072,0.0665244850194807
"33",0.66,0,5.2,1.50300445256522,0.661076,0.0302628164925551,0.661805,0.034096620867097,0.65816,0.0647828002729985
"34",0.68,0,5,1.35008594815625,0.678192,0.0299015926204816,0.67806,0.0330753742288788,0.67872,0.0668223527483643
"35",0.7,0,5.5,1.40479190332245,0.698624,0.0289457506463467,0.69846,0.0329554921745142,0.69928,0.0649962007051651
"36",0.72,0,5.3,1.40943612937333,0.7202,0.0282404944277809,0.719685,0.0320132882663688,0.72226,0.0627569185893542
"37",0.74,0,4.7,1.36969444875135,0.740104,0.0282160473725384,0.74046,0.0315726976236627,0.73868,0.0619846731031123
"38",0.76,0,5.8,1.4081412046389,0.760052,0.0264443680317871,0.760325,0.0297305108983731,0.75896,0.0622221021019862
"39",0.78,0,4.3,1.3521581334412,0.780484,0.0252235201740354,0.780455,0.0287435935326321,0.7806,0.0554934187045592
"40",0.8,0,6.2,1.40478338297635,0.800164,0.0250114909327429,0.800015,0.0279965816410429,0.80076,0.0583817679659569
"41",0.82,0,5.7,1.53757704313825,0.821764,0.0236668634259892,0.82162,0.0264901364157931,0.82234,0.0543790537015999
"42",0.84,0,5.6,1.34961017056435,0.839032,0.0245474551339554,0.83871,0.0270502794369599,0.84032,0.0535496514009677
"43",0.86,0,5.7,1.50330375042095,0.86034,0.0214739267375469,0.860585,0.0240064383881509,0.85936,0.0493926110873887
"44",0.88,0,6.1,1.43400571461274,0.880108,0.0199025739151611,0.880245,0.0220511048754077,0.87956,0.0475780418898263
