"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",0.02,0,4.9,1.42607499823318,0.01995155,0.00100154789985087,0.0199536363636364,0.00100679593460138,0.019745,0.0100180005657484
"2",0.04,0,6.8,1.31662368265981,0.03995915,0.00135648768381299,0.0399636363636364,0.00136489648842308,0.039515,0.0137360275718074
"3",0.06,0,4.7,1.35430277078457,0.06002905,0.00171338825045487,0.0600200505050505,0.0017176752597039,0.06092,0.0165416815114796
"4",0.08,0,5.3,1.52971688689625,0.07998865,0.00190622988904536,0.0799837878787879,0.00190838246350794,0.08047,0.0187824887030947
"5",0.1,0,4.3,1.41946997580591,0.1000346,0.00214707889649817,0.10003,0.0021596893492458,0.10049,0.0210059789381774
"6",0.12,0,5.9,1.37296438512278,0.1198998,0.00228916583939221,0.119900909090909,0.00230387158756719,0.11979,0.0236117219493499
"7",0.14,0,4.6,1.44931910804543,0.13998945,0.0025146848385707,0.139979696969697,0.00251296715119695,0.140955,0.0243074850370998
"8",0.16,0,4.8,1.46977733034313,0.1599729,0.00247982865136689,0.159967777777778,0.0024829609731455,0.16048,0.0254079744404225
"9",0.18,0,4.1,1.4845484001575,0.1799322,0.00270846338980868,0.179935707070707,0.00271710354659225,0.179585,0.0264641857635584
"10",0.2,0,5.6,1.39187389852265,0.19992175,0.00284932590196271,0.199930404040404,0.00286626280509577,0.199065,0.0280613294983187
"11",0.22,0,5,1.43456473728442,0.21982455,0.00298079518542241,0.219837323232323,0.00298622410540233,0.21856,0.0283633721704751
"12",0.24,0,5.2,1.40845495433455,0.2401306,0.00313772911258827,0.240143080808081,0.00313321129042421,0.238895,0.0303393218356879
"13",0.26,0,5.9,1.40301005478365,0.25989005,0.00307415010960695,0.259880454545455,0.00307628347554472,0.26084,0.0328271537301366
"14",0.28,0,4.7,1.34372533668438,0.2800983,0.0032095058868988,0.280085606060606,0.00322598016942959,0.281355,0.0311377348812262
"15",0.3,0,6,1.37008280910805,0.3002167,0.00327931548040441,0.300214242424242,0.0032922268967457,0.30046,0.0336863944816475
"16",0.32,0,5.3,1.39524802998772,0.3198456,0.00325448649134119,0.319842424242424,0.00327975640918704,0.32016,0.0332713297206676
"17",0.34,0,5.2,1.53468024035139,0.340078,0.00325809164407037,0.340078787878788,0.00329113665526924,0.34,0.033578676679219
"18",0.36,0,5.7,1.51536094221765,0.35985855,0.00331413456054298,0.359850303030303,0.00332747779745184,0.360675,0.0346514082700126
"19",0.38,0,3.2,1.37994736798296,0.38003465,0.00337873907771157,0.380025707070707,0.00339359848721215,0.38092,0.0322489316659264
"20",0.4,0,4.1,1.39695178997768,0.40022435,0.00345207639094341,0.400225909090909,0.00345314891770316,0.40007,0.0342639623966511
"21",0.42,0,5.4,1.30518737013753,0.41979545,0.00338338056706034,0.419797121212121,0.00340938784892903,0.41963,0.0357937745186826
"22",0.44,0,5.8,1.40553358980789,0.43989905,0.00352450900995603,0.439874090909091,0.00353151281647931,0.44237,0.0356420180889558
"23",0.46,0,4.4,1.32403089328439,0.4598204,0.00348463362658279,0.459812323232323,0.00350386206616826,0.46062,0.0341918803911789
"24",0.48,0,4.3,1.36197024710327,0.48009725,0.00348866460385893,0.480097575757576,0.00350662572893391,0.480065,0.0350949060039691
"25",0.5,0,4.4,1.47279495142191,0.5000706,0.0037208467235752,0.500070252525253,0.00372322764532711,0.500105,0.0350577098227768
"26",0.52,0,5.4,1.51766231718714,0.51975,0.00336237573310458,0.519735252525253,0.00337187950219392,0.52121,0.0344539253637807
"27",0.54,0,5.4,1.34444289620334,0.53993535,0.00357453705991317,0.539947878787879,0.00358624733597289,0.538695,0.0360287391542508
"28",0.56,0,4.5,1.40689110914498,0.5602567,0.00349403969974919,0.560249747474747,0.00351975666205712,0.560945,0.0352480410718014
"29",0.58,0,6.4,1.4538474706539,0.57981695,0.00357564125827912,0.579833585858586,0.00359618801732346,0.57817,0.036680329149921
"30",0.6,0,5,1.45146518354466,0.60011305,0.00347851581421873,0.600102777777778,0.00350100814551696,0.60113,0.0333329294269823
"31",0.62,0,4.5,1.34104477478022,0.62018915,0.00329827278751787,0.620172626262626,0.00332245427357275,0.621825,0.0337947697352928
"32",0.64,0,4.1,1.38315214631143,0.6401445,0.00357400521309962,0.640134242424242,0.00357520616151892,0.64116,0.0334817177788928
"33",0.66,0,4.9,1.39982246813072,0.66011505,0.00337769815737616,0.660104090909091,0.00340754225594854,0.6612,0.0351239760518893
"34",0.68,0,5.1,1.46754350902369,0.6800048,0.00320989491812199,0.679990101010101,0.00322275706248643,0.68146,0.0344267861352698
"35",0.7,0,5.3,1.50148860550697,0.699866,0.00332081568546296,0.69984904040404,0.00334773312844145,0.701545,0.0322494651584023
"36",0.72,0,5.1,1.55652431696447,0.71994955,0.00319971568705377,0.719937272727273,0.00321413263029145,0.721165,0.0313073142080716
"37",0.74,0,5.7,1.41976389562512,0.74001275,0.00316641929451054,0.740012171717172,0.00317926366452965,0.74007,0.0318332916686047
"38",0.76,0,5.3,1.46723499705391,0.75996705,0.00303452057376657,0.759942525252525,0.00306089524670144,0.762395,0.0304682997932653
"39",0.78,0,5.1,1.41932439252513,0.78007265,0.00287043269584245,0.780059646464646,0.00288360846132259,0.78136,0.0288232749905555
"40",0.8,0,3.8,1.34254927756544,0.7999974,0.00281066862118217,0.80000398989899,0.00284680800587276,0.799345,0.0278445918680144
"41",0.82,0,6.2,1.36342589360202,0.82004035,0.00274761146202411,0.820059898989899,0.0027497881626907,0.818105,0.0282609741102046
"42",0.84,0,5.2,1.38201043518045,0.8400932,0.00259008152039319,0.840092070707071,0.00259570367312859,0.840205,0.0256259568536409
"43",0.86,0,5.4,1.39402920557749,0.86003845,0.00233409020275022,0.860046414141414,0.00235808421622352,0.85925,0.0241613590526541
"44",0.88,0,5.6,1.42028729756579,0.880082,0.00226168326942815,0.880079848484848,0.00227229382323838,0.880295,0.0228453471167519
"45",0.9,0,6.1,1.42673313306777,0.9000543,0.00209354590215845,0.900050505050505,0.00210510679859594,0.90043,0.0216525733790221
"46",0.92,0,5.6,1.37527300149083,0.91997735,0.0018803643922782,0.919982222222222,0.00189575606141615,0.919495,0.01943573314086
"47",0.94,0,5.5,1.3852766255914,0.94003895,0.00169170395157065,0.940046060606061,0.00169878422681627,0.939335,0.0168883981772397
"48",0.96,0,6.3,1.45282224129622,0.96002835,0.00142448514749556,0.96002898989899,0.00143353955651254,0.959965,0.014144746333846
"49",0.98,0,3.4,1.46137117023758,0.98001035,0.000994723505478961,0.98001,0.000998815628480934,0.980045,0.0095033303787824
"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",0.02,0.02,3.2,1.37348617642275,0.02000725,0.000972651524693448,0.0200085858585859,0.000983166203770469,0.019875,0.00974701899964186
"2",0.04,0.02,6.5,1.42053687142456,0.04003225,0.00133369455973948,0.0400355050505051,0.00133811390241242,0.03971,0.0142432007908605
"3",0.06,0.02,7,1.41757412069737,0.05997355,0.00167726894940216,0.0599686363636364,0.00168263950910802,0.06046,0.0175626548917539
"4",0.08,0.02,6.2,1.3982785037429,0.0800349,0.00193596357014923,0.0800336363636364,0.00194687399075675,0.08016,0.0191948650123631
"5",0.1,0.02,3.6,1.35999922508027,0.09991345,0.002139383920913,0.0999045454545455,0.00214627083131141,0.100795,0.0209876977884297
"6",0.12,0.02,5.7,1.42404916521019,0.12014565,0.00228251800999816,0.120149545454545,0.002283622560568,0.11976,0.022952542761516
"7",0.14,0.02,5.8,1.39226200948341,0.14000035,0.00243653320756594,0.140007575757576,0.00245003679875435,0.139285,0.0246449010171708
"8",0.16,0.02,5.3,1.32262972698292,0.16012895,0.00259450589869408,0.160128939393939,0.00261274367443034,0.16013,0.0262597157766925
"9",0.18,0.02,4.5,1.32998053673891,0.1799104,0.00274210886016602,0.17991505050505,0.00275129732432377,0.17945,0.0265254802237603
"10",0.2,0.02,5.9,1.48211947362934,0.20012925,0.0029159457603284,0.200132424242424,0.00294362399648991,0.199815,0.0289297027759136
"11",0.22,0.02,4.1,1.45645706309639,0.22008625,0.00288041928419332,0.220072727272727,0.00288910552744729,0.221425,0.0287623303410319
"12",0.24,0.02,4.5,1.32312188567334,0.23998525,0.00294181818468303,0.240003585858586,0.00296183384645252,0.23817,0.0299941786143703
"13",0.26,0.02,6,1.38857700691362,0.26013335,0.00306823880538443,0.260134393939394,0.00305715383491702,0.26003,0.0325877440314769
"14",0.28,0.02,6.1,1.39422002929947,0.2799077,0.00319513921834787,0.279895,0.00319481003107745,0.281165,0.031672083857806
"15",0.3,0.02,5.1,1.49765803081396,0.3000076,0.00319721588721022,0.300022424242424,0.00321178965198018,0.29854,0.0330970363297654
"16",0.32,0.02,5.2,1.3449721579111,0.3198992,0.00322966175861731,0.319892424242424,0.00326169024704857,0.32057,0.033580541281414
"17",0.34,0.02,5.9,1.3626648345739,0.33991445,0.00349540219918024,0.339923080808081,0.00350921698347061,0.33906,0.0353810432042106
"18",0.36,0.02,5.1,1.27993040162108,0.35979665,0.00338929396646132,0.359786262626263,0.00341255779485692,0.360825,0.0340639799455338
"19",0.38,0.02,4.8,1.37836526881033,0.38011905,0.0034507669277843,0.380095404040404,0.00347330109195972,0.38246,0.0347758214533857
"20",0.4,0.02,3.4,1.43589354086298,0.40003175,0.0033463356675474,0.400015909090909,0.00336066142765599,0.4016,0.033518106501762
