"num_exps","risks","inf"
"1",0,0.0414721276515698,0
"2",2,0.153382744265422,0
"3",1,0.0337461540559452,0
"4",0,0.143390038027182,0
"5",1,0.0512054108004123,0
"6",1,0.122134409695244,0
"7",0,0.0123328114810971,0
"8",0,0.295941671722001,0
"9",1,0.00600541254796385,0
"10",1,0.552470279059461,1
"11",1,0.821091666588816,1
"12",1,0.000472635928890272,0
"13",1,0.676441019825157,1
"14",1,0.216695944750747,0
"15",2,0.183685703303146,0
"16",2,0.132328572635855,0
"17",0,0.624784738925265,0
"18",1,0.00587152117553912,0
"19",2,0.205370777046499,0
"20",0,0.00287570776576709,0
"21",0,0.05361384414533,0
"22",0,0.00366691390860596,0
"23",0,0.818555020945383,0
"24",0,1.12825708583219,1
"25",0,0.186715916347924,0
"26",2,0.0076449017451924,0
"27",1,0.0240878015029677,0
"28",2,0.109871921269934,0
"29",1,0.703242003296992,0
"30",2,0.0256658935354091,0
"31",1,0.692649505785705,0
"32",1,0.117100384044719,1
"33",0,1.1479949068534,1
"34",1,0.121269541482568,0
"35",0,0.529281907676603,0
"36",0,0.328707345758548,0
"37",2,0.0767519082246514,0
"38",0,0.64507508248378,0
"39",1,0.00395936041227593,0
"40",0,0.655070655780579,1
"41",0,0.0469840521893961,1
"42",2,0.408215128563024,1
"43",0,1.34823906304759,1
"44",1,0.26444132991367,0
"45",1,0.000234016988938912,0
"46",0,0.313831009132217,0
"47",0,0.241821285471154,0
"48",0,0.100797004085353,1
"49",0,0.175473263813938,1
"50",2,0.424427476338271,0
"51",0,0.323528471195744,0
"52",0,0.687075929040623,1
"53",2,0.490211986118623,1
"54",4,0.0140397655932025,0
"55",2,0.152643754628577,0
"56",2,0.299260007551584,0
"57",1,0.0492503715532091,0
"58",0,0.0153024983200934,0
"59",0,0.102146746155107,0
"60",0,0.171057267496439,0
"61",2,0.101948184860329,0
"62",0,0.0317064657609281,0
"63",2,1.00679892934222,1
"64",0,0.0302520749250636,0
"65",2,0.475003603767095,1
"66",0,0.0137756510609275,0
"67",2,0.0748860821785596,1
"68",1,0.449295217887031,0
"69",0,0.0299997403049307,1
"70",0,0.131863316683339,0
"71",2,0.604728144574024,1
"72",2,0.087406068230674,1
"73",2,0.339924681801029,0
"74",3,0.393239039167705,0
"75",1,0.00306693534756799,0
"76",1,0.0225086408043847,0
"77",0,0.190712798426756,0
"78",0,0.105852191957519,0
"79",2,0.099234394353786,0
"80",2,0.191894022365169,1
"81",2,0.0372910371670806,0
"82",1,0.046605616556315,0
"83",1,0.234207467826022,0
"84",0,0.237058242339795,0
"85",3,0.00148528287674998,0
"86",2,0.316778695757016,0
"87",0,0.0219337634954649,0
"88",1,0.988539969711719,0
"89",1,0.19747545115754,0
