"num_exps","risks","inf"
"1",1,0.419214730593598,0
"2",1,0.0268256879519888,0
"3",3,0.140920526835305,0
"4",1,0.00125668195223764,0
"5",2,0.254825641705823,1
"6",2,0.0634480845763659,0
"7",2,0.103394217852956,0
"8",2,0.0969461034454365,0
"9",1,0.492137506664409,0
"10",3,0.0361087488246893,0
"11",2,0.00241456196284299,0
"12",2,0.0722859134511761,0
"13",2,0.174171222565575,0
"14",1,0.000222279113761696,0
"15",2,0.2173360181991,0
"16",1,0.0313955738264278,0
"17",2,0.114254477594641,1
"18",3,0.0636959015284953,0
"19",2,0.335360888205045,0
"20",1,0.0392838728987118,0
"21",3,0.0787114120871129,0
"22",1,0.133322719033027,0
"23",5,0.145336295884576,0
"24",2,0.0459976338311478,0
"25",3,0.00914584359871155,0
"26",3,0.274248953733012,0
"27",3,0.12187198838299,0
"28",1,5.80223229631691e-07,0
"29",3,0.0230392129669905,0
"30",1,0.448599872877972,0
"31",2,0.0387686108552842,0
"32",2,0.0376062716990254,1
"33",3,0.124714118773511,0
"34",1,0.104802942569084,0
"35",1,0.139465651875961,0
"36",1,0.0225521339076525,0
"37",4,0.0157198905103512,0
"38",2,0.109984185379985,0
"39",1,0.0328701915580017,0
"40",2,0.0705577198386037,0
"41",2,0.0751867744450697,1
"42",4,0.134540449720781,0
"43",1,0.70483395254027,1
"44",1,0.567277717060223,0
"45",1,0.147569558980502,0
"46",3,0.496987410680053,1
"47",2,0.302294149500684,0
"48",1,0.684640939994387,0
"49",2,0.0532782972597971,0
"50",3,0.00374815664419092,0
"51",2,0.0540012428727224,0
"52",1,0.545662471610262,1
"53",2,0.368924052630361,1
"54",2,0.26243559241595,1
"55",3,0.0560563241956169,0
"56",3,0.102942666796667,0
"57",2,0.466321638793642,1
"58",1,0.084086751895286,0
"59",4,0.0469742745170662,0
"60",1,0.44260063513492,0
"61",1,0.457506728058718,0
"62",2,0.0602870776572917,0
"63",1,0.459025482045911,1
"64",2,0.453084171083193,1
"65",2,1.18819908492748,0
"66",1,0.04815102666369,0
"67",2,0.0201184430481454,0
"68",1,0.282946565802762,0
"69",2,0.0686555071218598,0
"70",1,0.0154211417891977,0
"71",1,0.232039510569007,0
"72",1,0.0573175521263253,0
"73",1,0.434282617971447,0
"74",3,0.0190888372277623,0
"75",3,0.0193524036083344,0
"76",2,0.134831376775863,1
"77",1,0.503840650273705,0
"78",2,0.0845031321190419,0
"79",1,0.113775037585735,0
"80",2,0.27088464191101,0
"81",3,0.0908807366769452,0
"82",3,0.0594951470573342,0
"83",3,0.0686978017815215,0
"84",1,0.0466953605070874,0
"85",4,0.0795465400178375,0
"86",3,0.00690543306367584,0
"87",1,0.00991388912093434,0
"88",1,0.359332047330322,0
"89",1,0.00777915424137713,0
"90",2,0.0211968905439446,0
"91",5,0.127870113687826,0
"92",1,0.270011007439405,0
"93",2,0.0256778631816991,0
"94",3,0.173595436259814,0
"95",2,0.304624100961464,0
"96",1,0.0646669407903778,0
"97",2,0.0676623757846305,0
"98",6,0.0132847447632261,0
"99",2,0.835266476531483,1
"100",1,0.705547794954305,0
"101",1,0.00138316090385815,0
"102",1,0.489997373554044,1
"103",2,0.00932279346730536,0
"104",1,0.485795999623099,0
"105",2,0.00882174407570575,0
"106",2,0.0292402033604256,0
"107",1,0.244352177125257,0
"108",1,0.839596036330091,0
"109",2,0.273569751873642,0
"110",2,0.0664907862035092,0
"111",3,0.460715660256854,0
"112",3,0.0133245805396711,0
"113",2,0.16285539945287,0
"114",2,0.00316024835110405,0
"115",2,0.26919514342073,0
"116",2,0.122140118262201,0
"117",1,0.0832890544417473,0
"118",1,0.0134470440848486,0
"119",3,0.0098344447890818,0
"120",1,0.0617241150344497,0
"121",2,0.0973138842612254,0
"122",4,0.0801039202293846,0
"123",2,0.163923310224218,0
"124",3,0.343001794601398,1
"125",2,0.596805531221802,1
"126",2,0.00169617859111362,0
"127",3,0.159425823668823,0
"128",3,0.192315286991396,0
"129",1,0.0105430840393797,0
"130",3,0.116690228222874,0
"131",2,0.00227112877425694,0
"132",1,0.0573140065956332,0
"133",4,0.0424594881881631,0
"134",2,0.160232853965317,0
"135",3,0.163078946667902,0
"136",1,0.550058483923645,0
"137",1,0.00285423793426399,0
"138",1,0.0231491677293423,0
"139",3,0.0946428744658784,0
"140",3,0.0578597371599559,0
"141",1,0.586545630843668,0
"142",1,0.0287386883090961,0
"143",2,0.0996642917402116,1
"144",4,0.00837836850292824,0
"145",2,0.07748384017511,0
"146",1,0.0503631404814414,0
"147",1,0.396605586961524,0
"148",1,0.379230077135775,0
"149",3,0.117721017193571,0
"150",3,0.49455935895462,1
"151",1,0.742885009786018,0
"152",2,0.0655316000013394,0
"153",1,0.377896598983204,1
"154",1,0.547690492686566,1
"155",3,0.0382512123878583,0
"156",2,0.980001170334245,0
"157",3,0.793721267655598,0
"158",1,4.06119574486145e-06,0
"159",6,0.0127532069613849,0
"160",2,0.488131315120871,0
"161",1,0.00124676788529316,0
"162",1,0.134323754482085,0
"163",1,1.62807778502014,0
"164",3,0.130748657773998,0
"165",2,0.226905059897988,0
"166",2,0.0901382195502462,0
"167",3,0.0213253930261087,0
"168",2,0.311854883656874,0
"169",1,0.000117259809464029,0
"170",1,0.00541136987386943,0
"171",3,0.0465517320391515,0
"172",2,0.00267542532669141,0
"173",2,0.172467271311873,0
"174",2,0.014317470252154,0
"175",1,0.00572395137443415,0
"176",2,0.106213010187783,1
"177",1,0.0427457016850664,0
"178",1,0.0757737613537732,1
"179",2,0.000344539513070004,0
"180",2,0.0675607872780065,0
"181",2,0.0242998389591207,0
"182",2,0.0294132915795391,0
"183",3,0.0445562404005993,0
"184",4,0.182206234134968,1
"185",3,0.0117059569714002,0
"186",2,0.0486219298811583,0
"187",3,0.00225692055852637,0
"188",2,0.0885170395902784,0
"189",3,0.0358319320177365,0
"190",3,0.0332804736428044,0
"191",4,0.0681639063422041,0
"192",2,0.0149848268666627,0
"193",2,0.154566133952797,0
"194",1,0.587842990268658,1
"195",2,0.0768737260705318,0
"196",2,0.0538601749456167,0
"197",4,0.0523110400296397,0
"198",3,0.102666531158266,0
"199",2,0.0417210015627722,0
"200",3,0.0109451780995978,0
"201",3,0.016259340914775,0
"202",1,0.106234922288797,1
"203",1,0.000159538944447148,0
"204",1,0.0397558783796841,0
"205",2,0.0203457893195734,0
"206",4,0.0070776893182319,0
"207",1,0.000642261922456209,0
"208",2,0.00806583135746514,0
"209",3,0.11894104990299,1
"210",2,0.123215986080886,1
"211",2,0.458469420459143,0
"212",5,9.45647251539466e-05,0
"213",1,0.0382581236748072,0
"214",1,0.000558762408853115,0
"215",2,0.19928199491899,0
"216",2,0.0148767258309273,0
"217",1,0.0613715071015563,1
"218",5,0.0138808404895261,0
"219",3,0.0905115733129274,0
"220",1,0.00187347449354383,0
"221",2,0.172831947322442,0
"222",2,0.0286580753040128,0
"223",1,0.151117808001692,1
"224",1,0.136482014751629,0
"225",1,0.0169648579008796,0
"226",2,0.241895512985471,0
"227",4,0.0415156779983284,0
"228",3,0.0302077524727216,0
"229",3,2.15798396422666e-05,0
"230",1,0.00667512672477308,0
"231",2,0.0855418481409672,1
"232",3,0.0657206563969708,0
"233",2,0.042014306616646,0
"234",3,0.00680886307476405,0
"235",1,0.159627992782964,0
"236",1,0.360295825764478,1
"237",2,0.0313438608395507,0
"238",1,0.290487808235779,0
"239",5,0.0995822550197416,0
"240",2,0.208915388414458,0
"241",2,0.187018798713066,0
"242",2,0.323806398463806,1
"243",1,0.698250978827811,1
"244",3,0.181796800156561,0
"245",2,0.660250055994246,0
"246",3,0.163449459976295,1
"247",3,0.14777770886791,0
"248",1,0.000692505361641756,0
"249",1,0.445230031547553,1
"250",2,0.0814161795487456,0
"251",1,0.0892391970111986,0
"252",2,0.0198538497872832,0
"253",1,7.478950739543e-06,0
"254",2,0.16427101459169,0
"255",1,0.128985313486327,1
"256",3,0.00253299530700243,0
"257",2,0.0420835269361701,0
"258",1,0.458545428154448,0
"259",2,0.0255507348370353,0
"260",3,0.0997991226105319,0
"261",2,0.16800952585535,0
"262",3,0.040251860547241,0
"263",1,0.0415674970451418,0
"264",1,0.0639923493761834,0
"265",1,0.0218921595021738,0
"266",4,0.396104869909074,1
"267",2,0.0568145946716045,0
"268",1,0.0208871931554963,0
"269",3,0.062012820627246,0
"270",1,0.180589507094164,1
"271",1,0.00220833646572253,0
"272",2,0.0364441012919726,0
"273",1,0.241386236316923,0
"274",3,0.0467105774711993,0
"275",2,0.224673275472889,0
"276",2,0.357856640430199,1
"277",2,0.00941740828155447,0
"278",2,0.125753758261461,0
"279",1,0.0223173820394339,0
"280",3,0.0578916095621433,0
"281",2,0.429428420285117,0
"282",2,0.139113052613205,0
"283",1,0.0090574842090462,0
"284",1,0.213926752629205,0
"285",3,0.0913094333150664,0
"286",1,0.485345391743022,0
"287",1,0.6522114283028,1
"288",3,0.0267467996789781,0
"289",1,0.000200342906469057,0
"290",2,0.207904111516209,0
"291",2,0.168046959749353,0
"292",1,0.0471986877328399,0
"293",2,0.0752538361053945,0
"294",1,0.142651615135258,0
"295",1,0.255223277248885,0
"296",1,0.232173605464581,1
"297",3,0.0370635175255513,0
"298",2,0.236695034130836,0
"299",1,0.0655058042581937,0
"300",1,0.00815273429416053,0
"301",3,0.000490690800035415,0
"302",1,0.0494968935193817,0
"303",1,0.272867735745442,0
"304",1,0.405317608628235,0
"305",3,0.157484941400505,0
"306",3,0.0101685015688006,0
"307",2,0.0362598647300656,0
"308",1,0.120321206643152,0
"309",1,0.0221819122927816,0
"310",3,0.0246228775473261,0
"311",3,0.0724556832525782,0
"312",2,0.0413804636888103,0
"313",2,0.00671199226157461,0
"314",2,0.528040822783995,0
"315",1,0.13077501926764,0
"316",1,0.158295817432785,1
"317",1,0.0528827647759897,0
"318",2,0.162758855794971,0
"319",4,0.00212958074921176,0
"320",3,0.116624402593474,0
"321",2,0.101098443028755,0
"322",1,0.100576168447674,0
"323",1,0.0258192774942703,0
"324",1,0.179794492958789,0
"325",1,0.136766851442422,0
"326",4,0.0703426703028886,0
"327",2,0.0616124709632202,0
"328",2,0.00725311565045779,0
"329",1,0.000874548297431454,0
"330",3,0.352687288615447,0
"331",1,0.488969952813852,1
"332",1,0.0689680585085777,0
"333",3,0.00027893381231949,0
"334",3,0.264283410108909,0
"335",3,0.00384874917396315,0
"336",2,0.150234652997445,0
"337",2,0.00829865261978521,0
"338",2,0.286124439491418,0
"339",3,0.0988207124924944,0
"340",1,0.141256745477623,1
"341",2,0.290134320817793,0
"342",3,0.152662219619149,0
