"V1"
"560",1
"561",2
"562",2
"563",3
"564",3
"565",3
"566",2
"567",1
"568",4
"569",1
"570",2
"571",2
"572",4
"573",3
"574",3
"575",4
"576",3
"577",2
"578",2
"579",4
"580",3
"581",2
"582",3
"583",2
"584",2
"585",2
"586",2
"587",1
"588",2
"589",2
"590",3
"591",3
"592",2
"593",3
"594",3
"595",2
"596",3
"597",4
"598",4
"599",3
"600",2
"601",1
"602",2
"603",2
"604",3
"605",3
"606",4
"607",4
"608",4
"609",2
"610",3
"611",4
"612",3
"613",2
"614",3
"615",3
"616",4
"617",1
"618",3
"619",3
"620",3
"621",4
"622",3
"623",4
"624",2
"625",4
"626",2
"627",2
"628",2
"629",2
"630",2
"631",2
"632",2
"633",2
"634",4
"635",3
"636",3
"637",3
"638",4
"639",3
"640",2
"641",3
"642",2
"643",2
"644",4
"645",3
"646",4
"647",4
"648",2
"649",2
"650",3
"651",1
"652",1
"653",4
"654",1
"655",4
"656",2
"657",2
"658",3
"659",4
"660",2
"661",4
"662",4
"663",2
"664",2
"665",1
"666",2
"667",3
"668",3
"669",1
"670",3
"671",3
"672",3
"673",4
"674",3
"675",3
"676",4
"677",1
"678",1
"679",4
"680",3
"681",4
"682",3
"683",3
"684",2
"685",2
"686",3
"687",3
"688",3
"689",3
"690",4
"691",2
"692",1
"693",4
"694",3
"695",3
"696",2
"697",3
"698",3
"699",2
"700",3
"701",3
"702",2
"703",3
"704",1
"705",4
"706",3
"707",3
"708",3
"709",3
"710",2
"711",2
"712",2
"713",4
"714",2
"715",2
"716",2
"717",2
"718",1
"719",3
"720",4
"721",4
"722",3
"723",2
"724",4
"725",3
"726",3
"727",4
"728",4
"729",3
"730",1
"731",3
"732",2
"733",3
"734",3
"735",3
"736",2
"737",4
"738",2
"739",1
"740",3
"741",3
"742",3
"743",3
"744",4
"745",3
"746",3
"747",3
"748",3
"749",3
"750",3
"751",4
"752",2
"753",0
"754",3
"755",4
"756",3
"757",3
"758",2
"759",3
"760",3
"761",2
"762",4
"763",2
"764",2
"765",1
"766",3
"767",4
"768",3
"769",4
"770",1
"771",2
"772",2
"773",3
"774",2
"775",2
"776",3
"777",3
"778",4
"779",4
"780",3
"781",4
"782",2
"783",3
"784",3
"785",3
"786",2
"787",3
"788",3
"789",3
"790",2
"791",3
"792",2
"793",3
"794",3
"795",3
"796",4
"797",4
"798",1
"799",3
"800",0
"801",1
