"","V1","V2","V3"
"1",0.57301074145437,0.654899408364392,-8471.04048278613
"2",0.609324419965721,0.581846249654333,-8472.08773994883
"3",0.63226063114201,0.557165236849787,-8470.62257304425
"4",0.680792931588409,0.535668695987159,-8473.15035317683
"5",0.595268122146525,0.606454356941864,-8470.21266216048
"6",0.566721348237536,0.649032125951229,-8471.21480469545
"7",0.725303732834532,0.490977232392713,-8471.69224805763
"8",0.622340114256829,0.64477381370369,-8469.40844051789
"9",0.499828730103841,0.781364321303924,-8470.61006671096
"10",0.499828730103841,0.781364321303924,-8470.61006671096
"11",0.659273290360105,0.551782389021274,-8470.86093454334
"12",0.801910315115715,0.422555931258695,-8471.78371508435
"13",0.608119880677852,0.619267984141927,-8470.54004196428
"14",0.598191458703998,0.647516700305639,-8469.81750206261
"15",0.674146026423669,0.53505937263441,-8470.18566888591
"","V1","V2","V3"
"1",0.703798489876805,0.518732283737082,-8470.31271175364
"2",0.643534275231861,0.540285290864287,-8471.47063881447
"3",0.586844758880735,0.639570183814703,-8470.26416884184
"4",0.521953548336753,0.711574506910202,-8472.19229466135
"5",0.580299532259415,0.621951495557384,-8469.80621267646
"6",0.57238905197201,0.661193051190855,-8469.67608694484
"7",0.589965620141297,0.634511584118296,-8471.27547329849
"8",0.501069131091929,0.770521102630413,-8470.9154102408
"9",0.562745577108576,0.681403937626626,-8469.66229415069
"10",0.490330952192992,0.75726204117023,-8469.90707396644
"11",0.563648179846409,0.680972203062798,-8472.34531254047
"12",0.474671376348086,0.849595615545861,-8470.22387258294
"13",0.519967628667318,0.746668280877471,-8469.90718146604
"14",0.5757294209351,0.682512171484752,-8470.31919667402
"15",0.744761028512796,0.461144931935118,-8472.16641648357
"","V1","V2","V3"
"1",0.588196776419642,0.654021295276654,-8470.63858308881
"2",0.605817020136334,0.624700999373322,-8470.44847263544
"3",0.528835930947878,0.727173329742539,-8472.40069098129
"4",0.823299386772147,0.402480385008309,-8470.34022718852
"5",0.694755447373303,0.511358321357235,-8469.84971570886
"6",0.681938267048336,0.525176712470568,-8472.37887603076
"7",0.560814277377003,0.671469674698558,-8470.47208436203
"8",0.511345431171705,0.698586326277757,-8471.44510889089
"9",0.592409056893685,0.670039482753369,-8469.90941820793
"10",0.714821851563033,0.511422308748451,-8473.22381721878
"11",0.839570948035812,0.433472938137599,-8470.60780669835
"12",0.610975504903216,0.584124737558104,-8471.04020200208
"13",0.52851749391891,0.751084646989642,-8470.03259046682
"14",0.518379157274503,0.770639890002692,-8470.81138386993
"15",0.562208351425383,0.64423005688243,-8470.83015164376
"","V1","V2","V3"
"1",0.490103667354198,0.79688714494396,-8471.28423619805
"2",0.607547348001254,0.60976400935805,-8470.36964436508
"3",0.632922230179833,0.560293125305516,-8472.12600354169
"4",0.532048416489042,0.712593517337487,-8469.92604010778
"5",0.481210869515437,0.779111784088056,-8472.14001805379
"6",0.525083409703846,0.762018404441192,-8470.25465726046
"7",0.576774064380265,0.634092907628822,-8469.98238674418
"8",0.54882023346568,0.664453515438371,-8470.53512443581
"9",0.512037659077372,0.72676698802172,-8473.96733746954
"10",0.711217840887493,0.489219434930198,-8470.44363696631
"11",0.638571514258203,0.604258986265914,-8469.8558472675
"12",0.541753001401809,0.759054316335453,-8469.45299430916
"13",0.616490989067162,0.57561087980067,-8469.99877463926
"14",0.537199595807509,0.733065026446867,-8469.58326592638
"15",0.493711429704209,0.850246869235405,-8471.01823210186
"","V1","V2","V3"
"1",0.574451291242462,0.638753829478629,-8469.95369613503
"2",0.725192437056065,0.482287250766693,-8471.05465913658
"3",0.672260919281369,0.55018716113174,-8469.71187942527
"4",0.584705420494589,0.622491863087294,-8470.68151744957
"5",0.585469617934084,0.653623207640945,-8470.0071691809
"6",0.754477572082387,0.467386575132796,-8470.89102368202
"7",0.951084166115067,0.368645287627022,-8471.04979130209
"8",0.767125995318786,0.435464077237577,-8469.74161092629
"9",0.767125995318786,0.435464077237577,-8469.74161092629
"10",0.803602583330363,0.434059321499614,-8470.67523374127
"11",0.803602583330363,0.434059321499614,-8470.67523374127
"12",0.674820342598986,0.523693008069291,-8470.99613988124
"13",0.916671959531081,0.35293640286338,-8471.43755674198
"14",1.05419701577063,0.307886862100368,-8471.04927629419
"15",1.05419701577063,0.307886862100368,-8471.04927629419
"","V1","V2","V3"
"1",1.06249011166369,0.301980618702973,-8470.88772484713
"2",1.06249011166369,0.301980618702973,-8470.88772484713
"3",1.06249011166369,0.301980618702973,-8470.88772484713
"4",1.06249011166369,0.301980618702973,-8470.88772484713
"5",1.04179840488924,0.308890783953938,-8471.40105551755
"6",1.04179840488924,0.308890783953938,-8471.40105551755
"7",1.01782535209597,0.304401660560437,-8471.94975523803
"8",0.731920130606319,0.477894248406566,-8471.12821254413
"9",0.591689037034749,0.658629497231856,-8473.32872772783
"10",0.51068314475025,0.745484136360477,-8470.74277652982
"11",0.57676780086212,0.676313030286401,-8470.39454661724
"12",0.531830310560543,0.747532742644368,-8471.89153092196
"13",0.621120558276723,0.601343696565847,-8469.4235930255
"14",0.541903371481485,0.715361775692842,-8470.5165580783
"15",0.510740747762663,0.799526443542535,-8469.97969363279
"","V1","V2","V3"
"1",0.564283704453235,0.666526032019307,-8469.7532189321
"2",0.675128740373881,0.481569107941052,-8472.60908450767
"3",0.66254584801175,0.558047045874136,-8470.6765389111
"4",0.516460720776718,0.76412769329132,-8470.34333082122
"5",0.502842184615375,0.786752297060042,-8470.48633487076
"6",0.643990417597522,0.570318342880265,-8470.09382314179
"7",0.591173355809945,0.617169752142077,-8470.68446688945
"8",0.525867374926384,0.763321294970335,-8470.66004698635
"9",0.569361053582038,0.63171462818935,-8470.79379942512
