"","m","f_inf","cv","not_binom_dist","p_naive"
"1",0.1,0.25,1.3,100,0.25104225
"2",0.2,0.25,1.3,100,0.24957725
"3",0.3,0.25,1.3,100,0.24983225
"4",0.4,0.25,1.3,100,0.2498115
"5",0.5,0.25,1.3,100,0.25022775
"6",0.6,0.25,1.3,100,0.2500075
"7",0.7,0.25,1.3,100,0.250042
"8",0.8,0.25,1.3,100,0.2499825
"9",0.9,0.25,1.3,100,0.25001975
"10",1,0.25,1.3,100,0.25017325
"11",1.1,0.25,1.3,100,0.25002
"12",1.2,0.25,1.3,100,0.249629
"13",1.3,0.25,1.3,100,0.25024625
"14",1.4,0.25,1.3,100,0.24996825
"15",1.5,0.25,1.3,100,0.2503065
"16",1.6,0.25,1.3,100,0.24981575
"17",1.7,0.25,1.3,100,0.25014775
"18",1.8,0.25,1.3,99.8,0.25033475
"19",1.9,0.25,1.3,99.7,0.250294
"20",2,0.25,1.3,99.2,0.24967325
"21",2.1,0.25,1.3,99.3,0.2496975
"22",2.2,0.25,1.3,98.4,0.249697
"23",2.3,0.25,1.3,96.8,0.24990075
"24",2.4,0.25,1.3,95.6,0.249925
"25",2.5,0.25,1.3,95.2,0.24965375
"26",2.6,0.25,1.3,92,0.25014325
"27",2.7,0.25,1.3,91,0.25007275
"28",2.8,0.25,1.3,88,0.249859
"29",2.9,0.25,1.3,84.4,0.2502185
"30",3,0.25,1.3,84.8,0.2499185
"31",3.1,0.25,1.3,80,0.25027325
"32",3.2,0.25,1.3,78.6,0.25017825
"33",3.3,0.25,1.3,75.9,0.25013725
"34",3.4,0.25,1.3,73.2,0.24961525
"35",3.5,0.25,1.3,71.2,0.250126
"36",3.6,0.25,1.3,66.7,0.249998
"37",3.7,0.25,1.3,65.4,0.24984075
"38",3.8,0.25,1.3,61.5,0.24994775
"39",3.9,0.25,1.3,58.2,0.24987025
"40",4,0.25,1.3,54.9,0.250093
"41",4.1,0.25,1.3,55.3,0.24996025
"42",4.2,0.25,1.3,52.5,0.25002275
"43",4.3,0.25,1.3,50.9,0.2499555
"44",4.4,0.25,1.3,47.4,0.249963
"45",4.5,0.25,1.3,43.7,0.2499875
"46",4.6,0.25,1.3,43.4,0.2502525
"47",4.7,0.25,1.3,42.2,0.249678
"48",4.8,0.25,1.3,42.2,0.25016675
"49",4.9,0.25,1.3,38.7,0.24995275
"50",5,0.25,1.3,38,0.249769
"51",5.1,0.25,1.3,33.2,0.2498215
"52",5.2,0.25,1.3,35.8,0.2499205
"53",5.3,0.25,1.3,31.4,0.24990275
"54",5.4,0.25,1.3,28.6,0.2499325
"55",5.5,0.25,1.3,31,0.24974
"56",5.6,0.25,1.3,27,0.2496385
"57",5.7,0.25,1.3,25.4,0.2501315
"58",5.8,0.25,1.3,22.3,0.249835
"59",5.9,0.25,1.3,26.9,0.25002075
"60",6,0.25,1.3,22.1,0.249946
