"","m","f_inf","cv","not_binom_dist","p_naive"
"1",0.1,0.25,1.3,100,0.21832275
"2",0.2,0.25,1.3,100,0.26096375
"3",0.3,0.25,1.3,100,0.24874125
"4",0.4,0.25,1.3,100,0.26124
"5",0.5,0.25,1.3,100,0.245383
"6",0.6,0.25,1.3,100,0.2378055
"7",0.7,0.25,1.3,100,0.24518575
"8",0.8,0.25,1.3,100,0.25673175
"9",0.9,0.25,1.3,100,0.2449435
"10",1,0.25,1.3,100,0.2434415
"11",1.1,0.25,1.3,100,0.240744
"12",1.2,0.25,1.3,100,0.23798325
"13",1.3,0.25,1.3,100,0.253567
"14",1.4,0.25,1.3,100,0.239283
"15",1.5,0.25,1.3,100,0.25551675
"16",1.6,0.25,1.3,100,0.247104
"17",1.7,0.25,1.3,100,0.2437145
"18",1.8,0.25,1.3,99.9,0.2546025
"19",1.9,0.25,1.3,99.6,0.25664975
"20",2,0.25,1.3,99.8,0.25768875
"21",2.1,0.25,1.3,100,0.24871175
"22",2.2,0.25,1.3,95.3,0.26146225
"23",2.3,0.25,1.3,96.7,0.26105225
"24",2.4,0.25,1.3,97.2,0.2464405
"25",2.5,0.25,1.3,94.4,0.25099625
"26",2.6,0.25,1.3,89.4,0.24973475
"27",2.7,0.25,1.3,87.2,0.2511225
"28",2.8,0.25,1.3,96.5,0.2490295
"29",2.9,0.25,1.3,95.8,0.24377875
"30",3,0.25,1.3,91.5,0.2450995
"31",3.1,0.25,1.3,94,0.243187
"32",3.2,0.25,1.3,70.5,0.2476655
"33",3.3,0.25,1.3,28.4,0.245537
"34",3.4,0.25,1.3,63.6,0.25012775
"35",3.5,0.25,1.3,43.3,0.2532695
"36",3.6,0.25,1.3,22.5,0.2535735
"37",3.7,0.25,1.3,45,0.2494065
"38",3.8,0.25,1.3,28.5,0.24259725
"39",3.9,0.25,1.3,60.5,0.254221
"40",4,0.25,1.3,57.6,0.2517465
"41",4.1,0.25,1.3,47.3,0.2569505
"42",4.2,0.25,1.3,58,0.24829925
"43",4.3,0.25,1.3,18.2,0.25636175
"44",4.4,0.25,1.3,33.4,0.2500015
"45",4.5,0.25,1.3,19.9,0.24722975
"46",4.6,0.25,1.3,34.9,0.2499375
"47",4.7,0.25,1.3,15.3,0.252757
"48",4.8,0.25,1.3,22.5,0.25073125
"49",4.9,0.25,1.3,14.7,0.26345325
"50",5,0.25,1.3,25.5,0.244636
"51",5.1,0.25,1.3,31.2,0.2493215
"52",5.2,0.25,1.3,18.3,0.24224375
"53",5.3,0.25,1.3,16.6,0.24734725
"54",5.4,0.25,1.3,29.8,0.25050275
"55",5.5,0.25,1.3,17.5,0.2452235
"56",5.6,0.25,1.3,19,0.248528
"57",5.7,0.25,1.3,37.9,0.250558
"58",5.8,0.25,1.3,21,0.24712375
"59",5.9,0.25,1.3,16,0.2528005
"60",6,0.25,1.3,18.2,0.2547685
