"","m","f_inf","cv","not_binom_dist","p_naive"
"1",0.1,0.25,1.3,100,0.269613333333333
"2",0.2,0.25,1.3,100,0.230397222222222
"3",0.3,0.25,1.3,100,0.201651111111111
"4",0.4,0.25,1.3,100,0.259954444444444
"5",0.5,0.25,1.3,100,0.265419444444444
"6",0.6,0.25,1.3,100,0.262934444444444
"7",0.7,0.25,1.3,100,0.242133333333333
"8",0.8,0.25,1.3,100,0.24615
"9",0.9,0.25,1.3,100,0.227497222222222
"10",1,0.25,1.3,100,0.226437222222222
"11",1.1,0.25,1.3,100,0.24522
"12",1.2,0.25,1.3,100,0.252808333333333
"13",1.3,0.25,1.3,100,0.243322777777778
"14",1.4,0.25,1.3,100,0.241848333333333
"15",1.5,0.25,1.3,100,0.244211111111111
"16",1.6,0.25,1.3,100,0.250624444444444
"17",1.7,0.25,1.3,100,0.247830555555556
"18",1.8,0.25,1.3,100,0.255430555555556
"19",1.9,0.25,1.3,100,0.248032222222222
"20",2,0.25,1.3,99.9,0.265685555555556
"21",2.1,0.25,1.3,99.8,0.259788888888889
"22",2.2,0.25,1.3,95.8,0.248117222222222
"23",2.3,0.25,1.3,100,0.254554444444444
"24",2.4,0.25,1.3,99.8,0.240947222222222
"25",2.5,0.25,1.3,98.4,0.248677222222222
"26",2.6,0.25,1.3,99.9,0.244073888888889
"27",2.7,0.25,1.3,98.6,0.248158888888889
"28",2.8,0.25,1.3,93.6,0.244591666666667
"29",2.9,0.25,1.3,92,0.246767777777778
"30",3,0.25,1.3,92.3,0.238134444444444
"31",3.1,0.25,1.3,96.6,0.243156666666667
"32",3.2,0.25,1.3,88.6,0.264217222222222
"33",3.3,0.25,1.3,84.4,0.254429444444444
"34",3.4,0.25,1.3,78.3,0.246745
"35",3.5,0.25,1.3,97.6,0.246705555555556
"36",3.6,0.25,1.3,50.4,0.257520555555556
"37",3.7,0.25,1.3,56.2,0.249587777777778
"38",3.8,0.25,1.3,69.8,0.254992777777778
"39",3.9,0.25,1.3,59,0.258298333333333
"40",4,0.25,1.3,93.9,0.250984444444444
"41",4.1,0.25,1.3,59.3,0.247891111111111
"42",4.2,0.25,1.3,66.5,0.25096
"43",4.3,0.25,1.3,72,0.246627777777778
"44",4.4,0.25,1.3,64.6,0.252483888888889
"45",4.5,0.25,1.3,55.9,0.254463333333333
"46",4.6,0.25,1.3,74.2,0.259709444444444
"47",4.7,0.25,1.3,72.6,0.242882222222222
"48",4.8,0.25,1.3,81.2,0.254186666666667
"49",4.9,0.25,1.3,82.7,0.251205
"50",5,0.25,1.3,49.2,0.251706666666667
"51",5.1,0.25,1.3,86,0.253843333333333
"52",5.2,0.25,1.3,43.7,0.255532222222222
"53",5.3,0.25,1.3,41,0.257246111111111
"54",5.4,0.25,1.3,61.3,0.255311111111111
"55",5.5,0.25,1.3,60.1,0.250113333333333
"56",5.6,0.25,1.3,39.5,0.254728333333333
"57",5.7,0.25,1.3,57.9,0.249998333333333
"58",5.8,0.25,1.3,13.2,0.253587777777778
"59",5.9,0.25,1.3,43.1,0.251321111111111
"60",6,0.25,1.3,21.2,0.261473888888889
