"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",0.02,0,5.5,1.42657766636691,0.01807,0.00423852156595493,0.01817,0.00474920044901296,0.01767,0.00923343686588891
"2",0.04,0,5.4,1.38322764654141,0.035912,0.00586264672538152,0.03599125,0.00653996422540442,0.035595,0.0130916907757313
"3",0.06,0,4.9,1.472077010108,0.054033,0.00705646545408569,0.0539325,0.00781302515752459,0.054435,0.0158163185011851
"4",0.08,0,5.5,1.40330604309347,0.07185,0.00808893880128481,0.07217375,0.00912261451191669,0.070555,0.0181947251428271
"5",0.1,0,4.5,1.43323085501869,0.089992,0.00900816757632112,0.0901375,0.00996191289153135,0.08941,0.0196351072682947
"6",0.12,0,3.9,1.3086428183443,0.107497,0.00983202215516522,0.1076625,0.0108573523867861,0.106835,0.021658182099425
"7",0.14,0,5.9,1.46457987646254,0.125351,0.0100750834391734,0.1258775,0.0113721125431335,0.123245,0.023509523020952
"8",0.16,0,5.4,1.401814514991,0.142955,0.0113771883791829,0.14397,0.0126838965318719,0.138895,0.0241968895617694
"9",0.18,0,4.7,1.38069145734625,0.16097,0.0114510360328761,0.16186875,0.012819733089811,0.157375,0.0248556266703774
"10",0.2,0,5.5,1.43223797417976,0.178923,0.0122491269938764,0.1798625,0.013834422105205,0.175165,0.0270227312276721
"11",0.22,0,5.6,1.37842984055538,0.196494,0.0118286043081963,0.197805,0.0133766928241218,0.19125,0.0283017400258092
"12",0.24,0,4.8,1.50180175695011,0.214614,0.0131113275800321,0.21606,0.0148626140802114,0.20883,0.0275024996588944
"13",0.26,0,7.1,1.40220977581232,0.233105,0.01319166384483,0.23476125,0.0151093217101245,0.22648,0.0294563622546518
"14",0.28,0,6.9,1.47513250219592,0.250127,0.0129494617478704,0.252025,0.0147462266767198,0.242535,0.0300041501133431
"15",0.3,0,6.2,1.39544556181442,0.267834,0.0142802089749544,0.26988875,0.0156028285639719,0.259615,0.0309141142111084
"16",0.32,0,8,1.46060644789253,0.285144,0.0149243425315824,0.287855,0.0168718295876183,0.2743,0.0321145035979282
"17",0.34,0,7.9,1.45057440059493,0.302968,0.0146676554403257,0.30599375,0.0164050876357866,0.290865,0.0330366189733936
"18",0.36,0,7.7,1.45148768154507,0.320416,0.0142419021122804,0.3240075,0.0159689527271265,0.30605,0.032996003337317
"19",0.38,0,8,1.43337499593836,0.337934,0.0150266244860063,0.34186875,0.0169638470886042,0.322195,0.0333687045814704
"20",0.4,0,8.4,1.4001317502891,0.35585,0.0152442739377081,0.36009875,0.0169121726138311,0.338855,0.0337594976070243
"21",0.42,0,10.2,1.44796098936328,0.372706,0.0150836029873197,0.37780875,0.0164638556991363,0.352295,0.0345521609574109
"22",0.44,0,12.2,1.28930910531559,0.390871,0.0152002436298372,0.3966375,0.0169449321177299,0.367805,0.0352086157299832
"23",0.46,0,15.4,1.31800066254763,0.407821,0.0158388708192481,0.41417625,0.0177104074478672,0.3824,0.0362885223845896
"24",0.48,0,15,1.20552540172386,0.424325,0.0153834985301467,0.43151875,0.0168495398432845,0.39555,0.0356106109975049
"25",0.5,0,19.7,1.21808112429514,0.441329,0.0160265907357308,0.44992,0.017805933737838,0.406965,0.0369103799919637
"26",0.52,0,22.6,1.17111416262719,0.459505,0.0165378800478319,0.4686725,0.0181679406597946,0.422835,0.0372461414115617
"27",0.54,0,29.1,1.13288068430108,0.475756,0.0159473126507503,0.48642625,0.0174133202508786,0.433075,0.0375096834344327
"28",0.56,0,31.1,1.05018673502486,0.493389,0.0158571475407189,0.5045875,0.0174916459038716,0.448595,0.0366844206949179
"29",0.58,0,38.2,1.01146729911105,0.509564,0.0156557019965572,0.5222525,0.0172329108674933,0.45881,0.0376769618394776
"30",0.6,0,42.8,0.96670138689538,0.52617,0.0154867989249212,0.54007625,0.0169786527170322,0.470545,0.0371733753489623
"31",0.62,0,52.5,0.877095207051192,0.542788,0.0158261025373123,0.55857125,0.0173589586203171,0.479655,0.0375808234781157
"32",0.64,0,58.4,0.838479542713258,0.558749,0.0162067472880173,0.576,0.0181628539680377,0.489745,0.037805942181941
"33",0.66,0,68.5,0.785981377277318,0.574232,0.0154495587271891,0.59354125,0.0172353755139424,0.496995,0.0385360870484408
"34",0.68,0,78.4,0.677222267424198,0.590557,0.0155950619414274,0.61264625,0.0171192908309911,0.5022,0.0386160743887983
"35",0.7,0,84,0.676299638592684,0.606624,0.0155433013937908,0.63052875,0.0171880748152128,0.511005,0.0392747690315613
"36",0.72,0,90.3,0.614845102954178,0.622071,0.015838270417246,0.648405,0.0172305068226493,0.516735,0.0389683629154255
"37",0.74,0,94.7,0.538211153608756,0.636443,0.0148166218580108,0.66613,0.0164023134309123,0.517695,0.0395718069198628
"38",0.76,0,98.7,0.502507967935508,0.650538,0.0156495195920981,0.68347,0.0165132685449622,0.51881,0.0411895676170615
"39",0.78,0,99.2,0.431222070553567,0.664901,0.0152261957177765,0.7017075,0.0165217064958658,0.517675,0.0388777681439644
"40",0.8,0,100,0.424672215220301,0.678515,0.0152635104006172,0.71998375,0.0158827874245635,0.51264,0.0429007094448433
"41",0.82,0,100,0.381423916246508,0.692749,0.0147303422221611,0.739045,0.0154642407748568,0.507565,0.0432749176023883
"42",0.84,0,100,0.340546325412634,0.70301,0.0149733129300132,0.755725,0.0153976121999959,0.49215,0.044366607892602
"43",0.86,0,100,0.303538460766874,0.715772,0.0147414153094377,0.77506625,0.015135885122977,0.478595,0.0444153543124301
"44",0.88,0,100,0.273469291671678,0.724812,0.0144594512942826,0.792025,0.0141993969193369,0.45596,0.0462208260934913
"45",0.9,0,100,0.239752157019654,0.734368,0.0138899786719601,0.8107975,0.0139183409199503,0.42865,0.0452147306955584
