"","V1","V2","V3"
"25",0.5,0.08,7.3
"26",0.52,0.08,5.8
"27",0.54,0.08,6.5
"28",0.56,0.08,7.5
"29",0.58,0.08,6.9
"30",0.6,0.08,7.8
"31",0.62,0.08,9.2
"32",0.64,0.08,8
"33",0.66,0.08,7.7
"34",0.68,0.08,11.1
"35",0.7,0.08,10.4
"36",0.72,0.08,12
"37",0.74,0.08,12.2
"38",0.76,0.08,13.9
"39",0.78,0.08,16
"40",0.8,0.08,19.3
"41",0.82,0.08,24.2
"42",0.84,0.08,29.8
"43",0.86,0.08,34.4
"44",0.88,0.08,38.7
"45",0.9,0.08,45.1
"46",0.92,0.08,52.7
"47",0.94,0.08,66.1
"48",0.96,0.08,73.8
"49",0.98,0.08,80.5
"","V1","V2","V3"
"1",0.02,0.1,5.5
"2",0.04,0.1,6
"3",0.06,0.1,4.3
"4",0.08,0.1,4.6
"5",0.1,0.1,6.8
"6",0.12,0.1,5.3
"7",0.14,0.1,5.7
"8",0.16,0.1,4.6
"9",0.18,0.1,6.3
"10",0.2,0.1,5.8
"11",0.22,0.1,5.1
"12",0.24,0.1,5.2
"13",0.26,0.1,6.7
"14",0.28,0.1,5.5
"15",0.3,0.1,5.4
"16",0.32,0.1,4.3
"17",0.34,0.1,5.7
"18",0.36,0.1,5.2
"19",0.38,0.1,6.4
"20",0.4,0.1,6.5
"21",0.42,0.1,5.2
"22",0.44,0.1,6
"23",0.46,0.1,5.7
"24",0.48,0.1,5.9
"25",0.5,0.1,7.2
"26",0.52,0.1,7
"27",0.54,0.1,5.8
"28",0.56,0.1,6.8
"29",0.58,0.1,7
"30",0.6,0.1,8.3
"31",0.62,0.1,7.7
"32",0.64,0.1,7.6
"33",0.66,0.1,9.8
"34",0.68,0.1,9.8
"35",0.7,0.1,10.4
"36",0.72,0.1,12.7
"37",0.74,0.1,13.7
"38",0.76,0.1,17.1
"39",0.78,0.1,16.5
"40",0.8,0.1,21.1
"41",0.82,0.1,24.4
"42",0.84,0.1,28
"43",0.86,0.1,33
"44",0.88,0.1,39.6
"45",0.9,0.1,46.7
"46",0.92,0.1,53.2
"47",0.94,0.1,64.8
"48",0.96,0.1,73.5
"49",0.98,0.1,78
"","V1","V2","V3"
"1",0.02,0.12,5.2
"2",0.04,0.12,5.3
"3",0.06,0.12,5.4
"4",0.08,0.12,5.5
"5",0.1,0.12,5.1
"6",0.12,0.12,4.1
"7",0.14,0.12,5.4
"8",0.16,0.12,5
"9",0.18,0.12,6
"10",0.2,0.12,4
"11",0.22,0.12,4.1
"12",0.24,0.12,6.3
"13",0.26,0.12,5
"14",0.28,0.12,6.3
"15",0.3,0.12,5.2
"16",0.32,0.12,5.8
"17",0.34,0.12,4.7
"18",0.36,0.12,5.5
"19",0.38,0.12,5.7
"20",0.4,0.12,6.6
"21",0.42,0.12,4.4
"22",0.44,0.12,4.7
"23",0.46,0.12,4.8
"24",0.48,0.12,6.2
"25",0.5,0.12,6.5
"26",0.52,0.12,6.3
"27",0.54,0.12,6.5
"28",0.56,0.12,6.3
"29",0.58,0.12,6.5
"30",0.6,0.12,7.2
"31",0.62,0.12,8.3
"32",0.64,0.12,8.8
"33",0.66,0.12,8.8
"34",0.68,0.12,8.6
"35",0.7,0.12,10.3
"36",0.72,0.12,13
"37",0.74,0.12,14
"38",0.76,0.12,15.4
"39",0.78,0.12,16
"40",0.8,0.12,20.7
"41",0.82,0.12,23
"42",0.84,0.12,27.8
"43",0.86,0.12,34.8
"44",0.88,0.12,40
"45",0.9,0.12,47.7
"46",0.92,0.12,53.8
"47",0.94,0.12,64.1
"48",0.96,0.12,72.9
"49",0.98,0.12,79.9
"","V1","V2","V3"
"1",0.02,0.14,6.8
"2",0.04,0.14,4.7
"3",0.06,0.14,4.7
"4",0.08,0.14,5.8
"5",0.1,0.14,4
