"","V1","V2","V3","V4","V5"
"6",1.43429615505513,0.522553469386598,1,1,-9849.0427664639
"7",1.43429615505513,0.522553469386598,1,1,-9849.0427664639
"8",1.26600136322724,0.525344375357293,1,1,-9850.11710402808
"9",1.4369903687836,0.376468764794457,1,1,-9849.65926047203
"10",1.43722976824907,0.248939336673748,1,1,-9850.20556573313
"11",1.202841105681,0.238216228914659,1,1,-9848.4622684503
"12",1.25285613657802,0.277426232217541,1,1,-9849.67888684158
"13",1.25808165020628,0.303924018258174,1,1,-9850.98880132671
"14",1.15997024214764,0.389365090489477,1,1,-9847.57903329159
"15",1.54772774650086,0.246257552722657,1,1,-9851.70152947499
"","V1","V2","V3","V4","V5"
"1",1.42195444184604,0.205888016191537,1,1,-9849.64946218197
"2",2.47424599343004,0.14564053758401,1,1,-9849.06466062811
"3",2.83944338961772,0.0845621845758454,1,1,-9848.09213890102
"4",2.51634787585116,0.115573071040075,1,1,-9849.28638445825
"5",2.26516306702183,0.159504713877286,1,1,-9847.87566857342
"6",2.70488803281222,0.117968968875192,1,1,-9849.50386322395
"7",1.85446261719451,0.117990358285048,1,1,-9853.2866086051
"8",1.58473516967688,0.256793396177131,1,1,-9849.94691109844
"9",1.5600293562654,0.167265779769027,1,1,-9849.24370618492
"10",2.25209428917483,0.116961433793921,1,1,-9847.65064330739
"11",1.95145783101552,0.106047770722399,1,1,-9848.21641575536
"12",2.14999663747474,0.115286130741585,1,1,-9848.22393552888
"13",2.14999663747474,0.115286130741585,1,1,-9848.22393552888
"14",2.44016619813875,0.118279344762792,1,1,-9847.6927061278
"15",2.367696942807,0.0838202609242057,1,1,-9852.29416016262
"","V1","V2","V3","V4","V5"
"1",2.71905768971598,0.116183398152911,1,1,-9849.0974588155
"2",3.74228261297734,0.0577295062047179,1,1,-9848.27300731718
"3",3.24015871488907,0.0690772479624604,1,1,-9849.61194366717
"4",1.75778379141529,0.137292769083454,1,1,-9848.39483476345
"5",1.51322877927481,0.122290100859806,1,1,-9849.23319750948
"6",1.29752845750553,0.302968575703708,1,1,-9851.09056687413
"7",1.62270551587313,0.278071955285116,1,1,-9850.43067008061
"8",1.80819598587311,0.323383283074004,1,1,-9851.32127300251
"9",1.87757920101471,0.191783873639624,1,1,-9848.20117654655
"10",1.49316355932775,0.285637120521415,1,1,-9849.54939173166
"11",1.93304023577328,0.209846666603079,1,1,-9848.81528410438
"12",1.47727903287422,0.308003623224329,1,1,-9848.92475740148
"13",1.47727903287422,0.308003623224329,1,1,-9848.92475740148
"14",1.05706853531584,0.316704129899354,1,1,-9850.69861187311
"15",0.865051276140876,0.390877939285968,1,1,-9850.84562251559
"","V1","V2","V3","V4","V5"
"1",1.06517398847515,0.136882965492982,1,1,-9848.44580397876
"2",1.06517398847515,0.136882965492982,1,1,-9848.44580397876
"3",1.02201322437496,0.10060023781383,1,1,-9848.95070226662
"4",1.02201322437496,0.10060023781383,1,1,-9848.95070226662
"5",1.02201322437496,0.10060023781383,1,1,-9848.95070226662
"6",1.02201322437496,0.10060023781383,1,1,-9848.95070226662
"7",1.02201322437496,0.10060023781383,1,1,-9848.95070226662
"8",1.02201322437496,0.10060023781383,1,1,-9848.95070226662
"9",1.02201322437496,0.10060023781383,1,1,-9848.95070226662
"10",1.02201322437496,0.10060023781383,1,1,-9848.95070226662
"11",1.02201322437496,0.10060023781383,1,1,-9848.95070226662
"12",1.02201322437496,0.10060023781383,1,1,-9848.95070226662
"13",1.02201322437496,0.10060023781383,1,1,-9848.95070226662
"14",1.02201322437496,0.10060023781383,1,1,-9848.95070226662
"15",1.05364081573441,0.115257313818561,1,1,-9849.15853876192
"","V1","V2","V3","V4","V5"
"1",1.05364081573441,0.115257313818561,1,1,-9849.15853876192
"2",1.05364081573441,0.115257313818561,1,1,-9849.15853876192
"3",1.05364081573441,0.115257313818561,1,1,-9849.15853876192
"4",1.05364081573441,0.115257313818561,1,1,-9849.15853876192
"5",1.05364081573441,0.115257313818561,1,1,-9849.15853876192
"6",1.06326478520798,0.141934528742515,1,1,-9849.6074708695
"7",1.05119603723459,0.142180264395928,1,1,-9848.5984102044
"8",1.05119603723459,0.142180264395928,1,1,-9848.5984102044
"9",1.05119603723459,0.142180264395928,1,1,-9848.5984102044
"10",0.893455225952425,0.184565326540416,1,1,-9848.55031544331
"11",0.893455225952425,0.184565326540416,1,1,-9848.55031544331
"12",0.893455225952425,0.184565326540416,1,1,-9848.55031544331
"13",0.893455225952425,0.184565326540416,1,1,-9848.55031544331
"14",0.893455225952425,0.184565326540416,1,1,-9848.55031544331
"15",0.893455225952425,0.184565326540416,1,1,-9848.55031544331
"","V1","V2","V3","V4","V5"
"1",1.12673420564576,0.195547793881641,1,1,-9850.45744876447
"2",1.20408812087439,0.201605148695744,1,1,-9848.77828889864
"3",1.06212310183358,0.187115520029622,1,1,-9849.21544847579
"4",0.998613820854835,0.283965148113009,1,1,-9850.0629269774
"5",0.998613820854835,0.283965148113009,1,1,-9850.0629269774
"6",1.00990719645721,0.253564980967555,1,1,-9848.73690470273
"7",0.969874530038005,0.361803360048885,1,1,-9849.52664226984
"8",0.969874530038005,0.361803360048885,1,1,-9849.52664226984
"9",0.909499630928678,0.596175637598288,1,1,-9854.02663406493
"10",0.887646069081391,0.676809948492378,1,1,-9853.29997511943
"11",0.774512458974129,0.721286522809444,1,1,-9849.96895714159
"12",0.650398570020377,0.689636872915322,1,1,-9855.39591583639
"13",0.648614590379056,0.645451704021045,1,1,-9852.21653425769
"14",0.800454717919025,0.675828906444863,1,1,-9853.24268118711
"15",1.49613712562723,0.176605188462959,1,1,-9849.20130800223
"","V1","V2","V3","V4","V5"
"1",2.28172705236019,0.13178306417357,1,1,-9848.23015473128
"2",1.66373257489254,0.149746287056938,1,1,-9851.78800095326
"3",1.05908662232424,0.401073643536345,1,1,-9852.14345569264
"4",1.20500202191731,0.252660857533647,1,1,-9848.00342165801
"5",1.66841483275331,0.163614242818469,1,1,-9849.21811014127
"6",1.84623255358513,0.125557095291794,1,1,-9848.20704442
"7",1.90460394003822,0.129404640229263,1,1,-9848.95580159822
"8",1.78174284410017,0.300924366975449,1,1,-9850.66722394419
"9",1.99962158330458,0.187473411777729,1,1,-9848.28721281412
"10",2.92150794424253,0.106807793623924,1,1,-9848.70213018929
"11",2.6197933057105,0.0874812066536161,1,1,-9849.85644128441
"12",2.82687655797038,0.0923820527591584,1,1,-9848.80383570453
"13",2.5538585100555,0.101374349167403,1,1,-9846.90591186652
"14",2.01253180998154,0.128907601793316,1,1,-9848.01967798874
"15",1.81373089964911,0.160151299208628,1,1,-9850.09858871119
"","V1","V2","V3","V4","V5"
"1",1.78968905524475,0.12882284949665,1,1,-9848.80291347682
"2",2.74324655353427,0.0940180831716081,1,1,-9848.43947874551
"3",2.47822316911154,0.0998534191751146,1,1,-9847.82843401056
"4",2.29855841032038,0.104322776886942,1,1,-9847.69235379078
"5",1.29557595091329,0.181497218304901,1,1,-9850.1460908149
"6",1.62841771487171,0.127228301349252,1,1,-9848.18994713598
"7",1.3087820021384,0.211945682187352,1,1,-9851.97216439185
"8",0.98341232341806,0.250781088788012,1,1,-9850.03552620957
"9",1.12688301976629,0.27435721330997,1,1,-9849.27848483608
"10",1.14603264896973,0.302019384341361,1,1,-9849.38803760785
"11",1.14603264896973,0.302019384341361,1,1,-9849.38803760785
"12",0.987737240956707,0.400827045851998,1,1,-9849.65095686596
"13",1.73444003997288,0.360107906928393,1,1,-9847.89515764398
"14",1.73444003997288,0.360107906928393,1,1,-9847.89515764398
"15",1.73444003997288,0.360107906928393,1,1,-9847.89515764398
"","V1","V2","V3","V4","V5"
"1",1.23710982357975,0.331434314512256,1,1,-9851.40099795786
"2",1.13306155713433,0.448285210277948,1,1,-9849.23025694559
"3",0.781297896993128,0.37974204061357,1,1,-9851.96460385619
"4",0.769431942995255,0.691362320814054,1,1,-9853.72463028353
"5",0.747223817195915,0.603168969892671,1,1,-9850.34708166422
"6",0.850849970658681,0.376633690320301,1,1,-9854.98323993721
"7",0.683990068547734,0.275559740242828,1,1,-9851.15244655268
"8",0.683990068547734,0.275559740242828,1,1,-9851.15244655268
"9",0.683990068547734,0.275559740242828,1,1,-9851.15244655268
"10",0.74796663924269,0.352267059464875,1,1,-9850.61559801652
"11",0.809028800416859,0.2722216149231,1,1,-9851.02361741032
"12",0.707150182725366,0.193534686914359,1,1,-9850.47634384932
"13",0.707150182725366,0.193534686914359,1,1,-9850.47634384932
"14",0.707150182725366,0.193534686914359,1,1,-9850.47634384932
"15",0.717146446955044,0.328791471263656,1,1,-9852.14404260944
"","V1","V2","V3","V4","V5"
"1",0.614571476145109,0.51813961472095,1,1,-9849.73802487582
"2",0.614571476145109,0.51813961472095,1,1,-9849.73802487582
"3",0.614571476145109,0.51813961472095,1,1,-9849.73802487582
"4",0.614571476145109,0.51813961472095,1,1,-9849.73802487582
"5",0.63915274658826,0.655500982896324,1,1,-9851.02242620113
"6",0.793961971871114,0.379111108394144,1,1,-9849.79781861006
"7",0.793961971871114,0.379111108394144,1,1,-9849.79781861006
"8",0.779659414472878,0.448995589106578,1,1,-9849.32176714624
"9",0.779659414472878,0.448995589106578,1,1,-9849.32176714624
"10",0.779659414472878,0.448995589106578,1,1,-9849.32176714624
"11",0.779659414472878,0.448995589106578,1,1,-9849.32176714624
"12",0.814568734799083,0.496312251611094,1,1,-9848.72153421524
"13",0.814568734799083,0.496312251611094,1,1,-9848.72153421524
"14",0.785685845465626,0.543608117095984,1,1,-9850.03762228842
"15",0.785685845465626,0.543608117095984,1,1,-9850.03762228842
"","V1","V2","V3","V4","V5"
"1",0.732338829654541,0.488502002673201,1,1,-9851.63301126326
"2",0.846258103747429,0.504383216184277,1,1,-9850.54350219103
"3",0.872822609834549,0.551820850884052,1,1,-9850.55107843188
"4",0.893523365380424,0.393991339281565,1,1,-9851.25516868674
"5",0.888724666898238,0.400106548012915,1,1,-9849.46387071088
"6",1.18349857691912,0.1483286332275,1,1,-9852.95943457848
"7",1.02146068462638,0.355919850891972,1,1,-9853.08858892048
"8",0.999436249142634,0.428317615915881,1,1,-9852.19894731915
"9",1.39102530921144,0.295703413465054,1,1,-9848.28227559598
"10",1.39102530921144,0.295703413465054,1,1,-9848.28227559598
"11",1.6434188321027,0.362257540293492,1,1,-9848.91015036405
"12",1.85406990680984,0.182016674467332,1,1,-9849.42193748638
"13",2.43200765332278,0.120006415935018,1,1,-9849.28984371459
"14",2.57991240712505,0.107769642640039,1,1,-9847.53529672387
"15",4.11483824699669,0.0690720795323335,1,1,-9847.00643263931
"","V1","V2","V3","V4","V5"
